name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,ffa_median,ffa_upper,ffa_lower,pff_median,sdPts,dropoff,sdRank,risk,offset
Brock Osweiler,4900.0,QB,MIA,NYJ,3.0424947154765225,3.3269878309600203,2.715056867015605,14.908224105834961,16.3022403717041,13.303778648376465,15.1164488320596,16.302239910399,13.3037791201254,14.7,1.25383445361427,3.82144781599059,1,5.96773775898081,
Sam Darnold,4800.0,QB,NYJ,MIA,3.0288422107696533,3.4537506103515625,2.4140087763468427,14.538442611694336,16.5780029296875,11.587242126464844,14.7768844797178,16.5780034948386,11.5872420928865,14.3,1.82365142959787,9.48906776349953,0.5,6.32414277348131,
Chiefs,2700.0,DST,KC,CLE,2.9316250483194985,3.750558782506872,2.548148190533673,7.9153876304626465,10.126508712768555,6.880000114440918,8.03077564086899,10.1265083972344,6.88,7.8,1.44101148197159,0.568100671269551,NA,4.83755902177107,
Bills,2300.0,DST,BUF,CHI,2.907130821891453,2.9251183634218965,2.2814725792926294,6.686400890350342,6.727772235870361,5.247386932373047,6.07280178787461,6.72777227562788,5.24738683127572,7.3,0.701497676356174,0.144472501947196,NA,3.73261921473431,
Chargers,2300.0,DST,LAC,SEA,2.8881137267402983,3.160867276399032,2.1937670915023144,6.6426615715026855,7.269994735717773,5.045664310455322,6.38532288626377,7.26999465736268,5.0456641831921,6.9,1.00746499369232,0.0263857043208588,NA,4.18977831847222,
Isaiah Crowell,4200.0,RB,NYJ,MIA,2.8773101170857744,2.9860494250342957,1.9118068331763858,12.084702491760254,12.541407585144043,8.02958869934082,11.1694054353279,12.541407323596,8.02958913021945,13,1.78475253622806,0.0204834776559579,3.4,7.88773454001502,
Lions,2100.0,DST,DET,MIN,2.845942860557919,3.467585018702916,2.1792670658656528,5.976480007171631,7.281928539276123,4.576460838317871,6.15296009194527,7.2819286669777,4.57646090534979,5.8,1.08297109316228,0.139780132276069,NA,4.30259527245593,
Latavius Murray,5100.0,RB,MIN,DET,2.8383402730904375,2.8574425566430186,2.199516109391755,14.47553539276123,14.572957038879395,11.21753215789795,13.2510702171187,14.5729566150702,11.2175317286652,15.7,1.85621143024806,0.291569295737467,1.4,6.74530688116554,
Browns,2000.0,DST,CLE,KC,2.8196592330932617,3.1771416664123535,2.450000047683716,5.639318466186523,6.354283332824707,4.900000095367432,5.63931832205808,6.35428348123683,4.9,,0.681009687867608,0.12489125772943,NA,3.70200721821007,
Michael Crabtree,4800.0,WR,BAL,PIT,2.756017843882243,3.0473669370015464,2.4312500158945722,13.228885650634766,14.627361297607422,11.670000076293945,13.2288855283941,14.6273608384895,11.67,,1.91207187718369,0.268272792632562,1.3,6.08400603994821,
Jets,2500.0,DST,NYJ,MIA,2.7499021530151366,3.408629608154297,1.93341121673584,6.874755382537842,8.521574020385742,4.8335280418396,6.34951050241494,8.5215744041868,4.83352825150732,7.4,1.57506755291644,0.125456504663996,NA,5.03785803990589,
Tevin Coleman,4800.0,RB,ATL,WAS,2.74971604347229,3.0006366968154907,2.2852136691411338,13.198637008666992,14.403056144714355,10.969025611877441,12.897273367454,14.4030565058841,10.9690260631001,13.5,1.4747538871941,0.0721760325529388,1.9,6.44839653101917,
Todd Gurley,9500.0,RB,LAR,NO,2.741900795384457,3.0496699684544613,2.488831168726871,26.048057556152344,28.971864700317383,23.643896102905273,26.5961148439056,28.9718652539013,23.6438957475995,25.5,2.9940894794346,3.71693847867393,0.3,7.87701546731699,
Marvin Jones,5300.0,WR,DET,MIN,2.7365536959666126,3.0321628642532064,2.240566037735849,14.503734588623047,16.070463180541992,11.875,14.0074684545187,16.0704624986012,11.875,15,2.25877600089818,0.160926180282249,1.7,6.68408026536103,
Kenny Golladay,5500.0,WR,DET,MIN,2.730299862948331,3.1465308449485083,2.314545371315696,15.01664924621582,17.305919647216797,12.729999542236328,14.7332983347538,17.3059201452347,12.73,15.3,2.80836649241529,0.26644072007695,2.2,7.59369140474274,
Buccaneers,2000.0,DST,TB,CAR,2.7180874347686768,3.3627443313598633,0.17499999701976776,5.4361748695373535,6.725488662719727,0.3499999940395355,5.57235010999988,6.72548847826087,0.350000000000001,5.3,2.36255669832994,0.115846091342453,NA,6.21447989303359,
Michael Thomas,7600.0,WR,NO,LAR,2.7079978742097555,3.1288365313881323,2.066184219561125,20.58078384399414,23.779157638549805,15.70300006866455,20.7615679114974,23.7791585791554,15.703,20.4,3.20515279744428,0.575360090029907,1,7.76585537713543,
Kareem Hunt,7700.0,RB,KC,CLE,2.6933952430626014,2.8393963405064175,2.5659608221673347,20.73914337158203,21.863351821899414,19.757898330688477,20.6782866329379,21.8633519756839,19.757898249453,20.8,0.917747025535625,0.859629824925801,0.5,4.67616877488659,
Paul Richardson,3800.0,WR,WAS,ATL,2.6891713393361947,2.745295323823628,1.335339671687076,10.218851089477539,10.432122230529785,5.074290752410889,8.83770245038141,10.4321220930233,5.07429092774766,11.6,1.99304030486944,0.293978844644062,4.4,7.15742092725247,
Tre'Quan Smith,4200.0,WR,NO,LAR,2.6858688536144437,3.6423149563017345,1.9969047818865093,11.280649185180664,15.297722816467285,8.38700008392334,11.5612978897275,15.2977231056585,8.387,11,4.65985353996279,0.238240622423447,2.2,10.1351707680781,
Jordan Howard,4700.0,RB,CHI,BUF,2.684964727848134,2.7662502451145903,1.413290247004083,12.61933422088623,13.001376152038574,6.6424641609191895,11.338667989418,13.001376146789,6.64246428571429,13.9,2.32948000181443,0.171143446357204,1.4,7.50353723949452,
Duke Johnson,3800.0,RB,CLE,KC,2.683240488955849,3.090712396722091,2.1579639535201225,10.196313858032227,11.744707107543945,8.200263023376465,10.1963134384618,11.7447068373164,8.20026282117785,,1.28530659605947,1.31000473395119,2,6.20772596079204,
Travis Kelce,6600.0,TE,KC,CLE,2.677612015695283,3.0498744502212065,2.298484860044537,17.672239303588867,20.12917137145996,15.170000076293945,17.5444801510192,20.1291715897368,15.17,17.8,2.08341084211659,3.93089059140461,0,6.8399501193678,
Bears,4100.0,DST,CHI,BUF,2.677300383404988,3.690158099662967,2.5358935100276296,10.97693157196045,15.129648208618164,10.397163391113281,12.7538639535366,15.1296485548856,10.3971636711647,9.2,1.85520001576259,3.49348449212903,NA,5.45641616159553,
Seahawks,2500.0,DST,SEA,LAC,2.6574302673339845,3.949707794189453,2.0486871719360353,6.643575668334961,9.874269485473633,5.121717929840088,6.38715179881236,9.87426972676811,5.12171815621454,6.9,2.02012836193627,0.0103084249450385,NA,5.70284279164929,
Peyton Barber,3600.0,RB,TB,CAR,2.6476690504286022,3.0571002430386014,1.9469516807132297,9.531608581542969,11.005560874938965,7.009026050567627,9.56321656868509,11.0055605659285,7.00902606310014,9.5,1.51541882158636,1.37313886179986,1.9,6.51354640495568,
Christian McCaffrey,7800.0,RB,CAR,TB,2.6456346267308946,2.972871829301883,2.366666549291366,20.635950088500977,23.188400268554688,18.459999084472656,21.671901547807,23.1884,18.46,19.6,1.89435361292658,1.34453515833662,0.8,6.42934112544812,
Julio Jones,7900.0,WR,ATL,WAS,2.639106074465981,2.748814112023462,2.221518890767158,20.84893798828125,21.71563148498535,17.549999237060547,19.8978750110173,21.7156319582915,17.55,21.8,1.86972405173455,0.389707294434235,1.1,5.96379441604646,
Mark Ingram,5000.0,RB,NO,LAR,2.6375844955444334,2.6477006912231444,2.2763999938964843,13.187922477722168,13.238503456115723,11.381999969482422,12.6758449539487,13.2385030066673,11.382,13.7,0.651396720044382,0.429111762688615,1.6,4.94074727200508,
Kyle Rudolph,3600.0,TE,MIN,DET,2.6330738597446017,3.170040448506673,2.3872221840752497,9.479065895080566,11.412145614624023,8.593999862670898,10.1581320834689,11.4121453488372,8.594,8.8,1.25963939518135,0.365023510532907,0.8,5.73577640808529,
Dolphins,2800.0,DST,MIA,NYJ,2.6298478671482632,2.9576587677001953,2.0623089585985457,7.363574028015137,8.281444549560547,5.774465084075928,7.02714774643264,8.28144441011101,5.77446502057613,7.7,1.29986168031056,0.0577065514244754,NA,4.62666095140871,
Sammy Watkins,4900.0,WR,KC,CLE,2.623978245015047,3.0340665700484295,2.0693165915352956,12.85749340057373,14.866926193237305,10.13965129852295,13.1149866947428,14.8669260642214,10.1396517273576,12.6,2.1985539209743,0.545962488314483,1.4,6.50829216897048,
Devontae Booker,3700.0,RB,DEN,HOU,2.617669492154508,2.500312650525892,1.7405405560055294,9.68537712097168,9.2511568069458,6.440000057220459,8.17075457343431,9.2511569024773,6.44,11.2,1.30920013246452,0.516120887367292,3.1,6.93730827490906,
LeSean McCoy,4900.0,RB,BUF,CHI,2.6034886496407643,2.8306242884421833,2.029378268183494,12.757094383239746,13.8700590133667,9.943953514099121,12.514187840486,13.8700588700216,9.94395327258476,13,1.79294516406907,0.749364651467353,1.3,6.58110144096521,
Saints,2200.0,DST,NO,LAR,2.6030813563953745,3.336312554099343,1.8882528218356045,5.726778984069824,7.339887619018555,4.15415620803833,5.95355813146379,7.33988780717225,4.15415637860082,5.5,1.40518916553493,0.072505163747504,NA,4.78403533754696,
Adam Thielen,8900.0,WR,MIN,DET,2.5921898745418934,2.8596447290999163,2.1098876267336726,23.07048988342285,25.450838088989258,18.777999877929688,22.8409815431244,25.4508387466956,18.778,23.3,2.59327817276734,1.64079527892038,0.3,6.70866665701476,
Adrian Peterson,6000.0,RB,WAS,ATL,2.5811548233032227,2.936316172281901,2.1583333015441895,15.486928939819336,17.617897033691406,12.949999809265137,15.9738584563581,17.6178978135483,12.95,15,1.82511020145401,0.886549062815218,0.9,6.38125091281172,
Devin Funchess,5600.0,WR,CAR,TB,2.5782803126743863,2.528813225882394,2.3124999659402032,14.438369750976562,14.161354064941406,12.949999809265137,13.7767404378732,14.161354471816,12.95,15.1,0.449720134792125,0.384581153326792,2.4,4.41813210988527,
Lamar Miller,5200.0,RB,HOU,DEN,2.5690775651198168,2.787787730877216,1.8352801983173077,13.359203338623047,14.496496200561523,9.54345703125,12.8184073486185,14.4964963960052,9.54345714285714,13.9,1.83229918101177,0.223390951401139,1.8,6.95837931943754,
Emmanuel Sanders,6400.0,WR,DEN,HOU,2.558552622795105,3.2366758584976196,2.2423647344112396,16.374736785888672,20.714725494384766,14.351134300231934,17.6494745028195,20.7147250885153,14.3511340893929,15.1,2.74484193613154,0.187026108187482,1.2,7.1960828713082,
James Conner,7200.0,RB,PIT,BAL,2.543007002936469,2.8084304597642684,2.534586853451199,18.309650421142578,20.220699310302734,18.249025344848633,19.6193022091404,20.22069952652,18.2490260631001,17,0.638189124125816,2.19085066653967,1.4,4.79389589571361,
Elijah McGuire,3000.0,RB,NYJ,MIA,2.5429231325785318,2.627953370412191,1.3000000317891438,7.628769397735596,7.883860111236572,3.9000000953674316,6.45753858909348,7.88386018555905,3.9,8.8,1.5842977097688,0.454259868963454,5.9,9.13772421172997,
Falcons,2200.0,DST,ATL,WAS,2.5355690175836734,2.958827885714444,1.9113091988997024,5.578251838684082,6.509421348571777,4.204880237579346,5.45650401865743,6.50942155483986,4.20488042041267,5.7,1.22369774902733,NA,NA,4.51286110224264,
Nathan Peterman,4000.0,QB,BUF,CHI,2.526639699935913,2.826749324798584,0.28805211186408997,10.106558799743652,11.306997299194336,1.1522084474563599,7.81311755242015,11.306996969123,1.1522085048011,12.4,3.82313944045357,5.2331792208334,0.4,9.29239953604159,
Kenyan Drake,5300.0,RB,MIA,NYJ,2.5209178564683445,2.8626845017919003,1.721857358824532,13.360864639282227,15.17222785949707,9.12584400177002,13.0217284753084,15.1722274542427,9.12584362139918,13.7,1.97815696226384,0.157198130989634,1.2,6.81498626727771,
Jarvis Landry,6500.0,WR,CLE,KC,2.5197340158315806,2.777575272780198,2.1061537815974307,16.378271102905273,18.05423927307129,13.6899995803833,16.3782711620914,18.0542390792765,13.69,,1.9677939033671,1.22005884891394,2.4,6.50194531288043,
Ravens,2500.0,DST,BAL,PIT,2.5180591583251952,3.2744564056396483,1.501662540435791,6.295147895812988,8.186141014099121,3.7541563510894775,6.29514790355663,8.1861409308667,3.75415637860082,,1.72263789267798,0.182266963646693,NA,5.2583493160691,
Brandin Cooks,6700.0,WR,LAR,NO,2.509321525915345,3.1666089527642547,2.0746268087358617,16.812454223632812,21.216279983520508,13.899999618530273,17.3249074879595,21.2162790337864,13.9,16.3,3.82029570961477,0.572401958886569,1.2,8.67232521129607,
D.J. Moore,4300.0,WR,CAR,TB,2.504154249679211,2.6913866885872775,1.234204270118891,10.767863273620605,11.572962760925293,5.3070783615112305,10.3357267663683,11.5729629307827,5.30707818930041,11.2,2.24893090613526,0.0423591739497802,2.2,6.82577137012546,
