Rnk,Name,Team,Pos,Bye,Game,Pts,Sal
264,Derek Watt,LAC,rb,8,@SEA,0.3,"$3,000 "
231,Nathan Peterman,BUF,qb,11,CHI,12.4,"$4,000 "
239,Damion Ratley,CLV,wr,11,KC,2.9,"$3,500 "
266,Tyler Ervin,HST,rb,10,@DEN,0.2,"$3,200 "
265,Damien Williams,KC,rb,12,@CLV,0.2,"$3,000 "
241,Sammie Coates Jr.,HST,wr,10,@DEN,2.8,"$3,000 "
240,Martavis Bryant,OAK,wr,7,@SF,2.8,"$3,500 "
267,Michael Floyd,WAS,wr,4,ATL,2.3,"$3,200 "
268,Justin Hardy,ATL,wr,8,@WAS,2,"$3,000 "
270,Joshua Bellamy,CHI,wr,5,@BUF,1.9,N/A
269,Kendrick Bourne,SF,wr,11,OAK,1.9,"$3,600 "
271,Tavon Austin,DAL,wr,8,TEN,1.8,"$3,000 "
272,Austin Carr,NO,wr,6,LAR,1.8,"$3,000 "
273,Aldrick Robinson,MIN,wr,10,DET,1.7,"$3,200 "
274,Cam Phillips,BUF,wr,11,CHI,1.5,"$3,000 "
275,Jaron Brown,SEA,wr,7,LAC,1.5,"$3,100 "
278,Marvin Hall,ATL,wr,8,@WAS,1.2,"$3,000 "
276,Phillip Dorsett,NE,wr,11,GB,1.2,"$3,600 "
277,Josh Reynolds,LAR,wr,12,@NO,1.2,"$4,500 "
281,Deonte Thompson,DAL,wr,8,TEN,1.1,"$3,100 "
279,Demarcus Robinson,KC,wr,12,@CLV,1.1,"$3,000 "
280,Dante Pettis,SF,wr,11,OAK,1.1,"$3,500 "
282,Dwayne Harris,OAK,wr,7,@SF,0.9,"$3,200 "
283,Brandon Zylstra,MIN,wr,10,DET,0.7,"$3,000 "
284,Darrius Heyward-Bey,PIT,wr,7,@BLT,0.7,"$3,000 "
285,Isaiah McKenzie,DEN,wr,10,HST,0.6,"$3,000 "
286,Tim Patrick,DEN,wr,10,HST,0.6,"$3,000 "
287,Andre Roberts,NYJ,wr,11,@MIA,0.6,"$3,300 "
288,Ray-Ray McCloud III,BUF,wr,11,CHI,0.5,"$3,000 "
290,Kevin White,CHI,wr,5,@BUF,0.5,"$3,000 "
289,De'Anthony Thomas,KC,wr,12,@CLV,0.5,N/A
291,JoJo Natson,LAR,wr,12,@NO,0.4,N/A
292,Tommylee Lewis,NO,wr,6,LAR,0.3,N/A
293,Lamar Jackson,BLT,qb,10,PIT,2.5,"$4,400 "
294,Taysom Hill,NO,qb,6,LAR,1.7,"$4,000 "
295,Matt Schaub,ATL,qb,8,@WAS,0.2,"$4,400 "
296,Tyrod Taylor,CLV,qb,11,KC,0.2,"$4,500 "
297,Trevor Siemian,MIN,qb,10,DET,0.2,"$4,400 "
298,Brian Hoyer,NE,qb,11,GB,0.2,"$4,500 "
299,Teddy Bridgewater,NO,qb,6,LAR,0.2,"$4,500 "
300,Sean Mannion,LAR,qb,12,@NO,0.2,"$4,400 "
301,C.J. Beathard,SF,qb,11,OAK,0.2,"$5,000 "
303,Taylor Heinicke,CAR,qb,4,TB,0.1,"$4,000 "
