name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,sdPts,dropoff,sdRank,risk,offset
Buccaneers,2000.0,DST,TB,CAR,2.6500000953674316,2.6500000953674316,2.6500000953674316,5.300000190734863,5.300000190734863,5.300000190734863,0,0,0,0,
Peyton Barber,3600.0,RB,TB,CAR,2.638888888888889,2.638888888888889,2.638888888888889,9.5,9.5,9.5,0,0,0,0,
Tre'Quan Smith,4200.0,WR,NO,LAR,2.619047619047619,2.619047619047619,2.619047619047619,11.0,11.0,11.0,0,0,0,0,
Texans,3000.0,DST,HOU,DEN,2.6000000635782876,2.6000000635782876,2.6000000635782876,7.800000190734863,7.800000190734863,7.800000190734863,0,0,0,0,
DeSean Jackson,5000.0,WR,TB,CAR,2.6,2.6,2.6,13.0,13.0,13.0,0,0,0,0,
Adam Thielen,8900.0,WR,MIN,DET,2.595505660839295,2.595505660839295,2.595505660839295,23.100000381469727,23.100000381469727,23.100000381469727,0,0,0,0,
Falcons,2200.0,DST,ATL,WAS,2.590909004211426,2.590909004211426,2.590909004211426,5.699999809265137,5.699999809265137,5.699999809265137,0,0,0,0,
Kenyan Drake,5300.0,RB,MIA,NYJ,2.5849056243896484,2.5849056243896484,2.5849056243896484,13.699999809265137,13.699999809265137,13.699999809265137,0,0,0,0,
Ed Dickson,3300.0,TE,SEA,LAC,2.5757575757575757,2.5757575757575757,2.5757575757575757,8.5,8.5,8.5,0,0,0,0,
Quincy Enunwa,4000.0,WR,NYJ,MIA,2.575000047683716,2.575000047683716,2.575000047683716,10.300000190734863,10.300000190734863,10.300000190734863,0,0,0,0,
Sammy Watkins,4900.0,WR,KC,CLE,2.571428649279536,2.571428649279536,2.571428649279536,12.600000381469727,12.600000381469727,12.600000381469727,0,0,0,0,
Devin Funchess,5600.0,WR,CAR,TB,2.5714285033089777,2.5714285033089777,2.5714285033089777,14.399999618530273,14.399999618530273,14.399999618530273,0,0,0,0,
DaeSean Hamilton,3000.0,WR,DEN,HOU,2.566666603088379,2.566666603088379,2.566666603088379,7.699999809265137,7.699999809265137,7.699999809265137,0,0,0,0,
Vikings,2900.0,DST,MIN,DET,2.551724170816356,2.551724170816356,2.551724170816356,7.400000095367432,7.400000095367432,7.400000095367432,0,0,0,0,
Christian McCaffrey,7800.0,RB,CAR,TB,2.512820561726888,2.512820561726888,2.512820561726888,19.600000381469727,19.600000381469727,19.600000381469727,0,0,0,0,
Demaryius Thomas,4500.0,WR,HOU,DEN,2.5111111534966364,2.5111111534966364,2.5111111534966364,11.300000190734863,11.300000190734863,11.300000190734863,0,0,0,0,
Adrian Peterson,6000.0,RB,WAS,ATL,2.5,2.5,2.5,15.0,15.0,15.0,0,0,0,0,
Saints,2200.0,DST,NO,LAR,2.5,2.5,2.5,5.5,5.5,5.5,0,0,0,0,
Keenan Allen,7300.0,WR,LAC,SEA,2.4931507894437606,2.4931507894437606,2.4931507894437606,18.200000762939453,18.200000762939453,18.200000762939453,0,0,0,0,
Kelvin Benjamin,3500.0,WR,BUF,CHI,2.4857142312186107,2.4857142312186107,2.4857142312186107,8.699999809265137,8.699999809265137,8.699999809265137,0,0,0,0,
Charles Clay,2700.0,TE,BUF,CHI,2.4814814108389394,2.4814814108389394,2.4814814108389394,6.699999809265137,6.699999809265137,6.699999809265137,0,0,0,0,
Panthers,3200.0,DST,CAR,TB,2.4687500298023224,2.4687500298023224,2.4687500298023224,7.900000095367432,7.900000095367432,7.900000095367432,0,0,0,0,
D.J. Moore,4300.0,WR,CAR,TB,2.4651163677836574,2.4651163677836574,2.4651163677836574,10.600000381469727,10.600000381469727,10.600000381469727,0,0,0,0,
Mike Evans,8100.0,WR,TB,CAR,2.4444443502543884,2.4444443502543884,2.4444443502543884,19.799999237060547,19.799999237060547,19.799999237060547,0,0,0,0,
Doug Baldwin,5300.0,WR,SEA,LAC,2.4339621921755232,2.4339621921755232,2.4339621921755232,12.899999618530273,12.899999618530273,12.899999618530273,0,0,0,0,
Brandin Cooks,6700.0,WR,LAR,NO,2.4328357070239623,2.4328357070239623,2.4328357070239623,16.299999237060547,16.299999237060547,16.299999237060547,0,0,0,0,
Kyle Rudolph,3600.0,TE,MIN,DET,2.41666661368476,2.41666661368476,2.41666661368476,8.699999809265137,8.699999809265137,8.699999809265137,0,0,0,0,
Mike Davis,3400.0,RB,SEA,LAC,2.411764649783864,2.411764649783864,2.411764649783864,8.199999809265137,8.199999809265137,8.199999809265137,0,0,0,0,
Tyler Lockett,5200.0,WR,SEA,LAC,2.4038461538461537,2.4038461538461537,2.4038461538461537,12.5,12.5,12.5,0,0,0,0,
JuJu Smith-Schuster,7200.0,WR,PIT,BAL,2.402777671813965,2.402777671813965,2.402777671813965,17.299999237060547,17.299999237060547,17.299999237060547,0,0,0,0,
Royce Freeman,3800.0,RB,DEN,HOU,2.3947369424920333,2.3947369424920333,2.3947369424920333,9.100000381469727,9.100000381469727,9.100000381469727,0,0,0,0,
Redskins,2600.0,DST,WAS,ATL,2.3846153112558217,2.3846153112558217,2.3846153112558217,6.199999809265137,6.199999809265137,6.199999809265137,0,0,0,0,
Ito Smith,3700.0,RB,ATL,WAS,2.3783784299283415,2.3783784299283415,2.3783784299283415,8.800000190734863,8.800000190734863,8.800000190734863,0,0,0,0,
DeAndre Hopkins,8300.0,WR,HOU,DEN,2.3734940678240304,2.3734940678240304,2.3734940678240304,19.700000762939453,19.700000762939453,19.700000762939453,0,0,0,0,
Austin Hooper,3800.0,TE,ATL,WAS,2.368421052631579,2.368421052631579,2.368421052631579,9.0,9.0,9.0,0,0,0,0,
Theo Riddick,3800.0,RB,DET,MIN,2.368421052631579,2.368421052631579,2.368421052631579,9.0,9.0,9.0,0,0,0,0,
James Conner,7200.0,RB,PIT,BAL,2.361111111111111,2.361111111111111,2.361111111111111,17.0,17.0,17.0,0,0,0,0,
Allen Robinson,5200.0,WR,CHI,BUF,2.346153809474065,2.346153809474065,2.346153809474065,12.199999809265137,12.199999809265137,12.199999809265137,0,0,0,0,
Greg Olsen,4700.0,TE,CAR,TB,2.3404255319148937,2.3404255319148937,2.3404255319148937,11.0,11.0,11.0,0,0,0,0,
Kerryon Johnson,5600.0,RB,DET,MIN,2.3392857824053084,2.3392857824053084,2.3392857824053084,13.100000381469727,13.100000381469727,13.100000381469727,0,0,0,0,
Stefon Diggs,6800.0,WR,MIN,DET,2.338235238019158,2.338235238019158,2.338235238019158,15.899999618530273,15.899999618530273,15.899999618530273,0,0,0,0,
Cooper Kupp,6000.0,WR,LAR,NO,2.3333333333333335,2.3333333333333335,2.3333333333333335,14.0,14.0,14.0,0,0,0,0,
Robby Anderson,4300.0,WR,NYJ,MIA,2.3255813953488373,2.3255813953488373,2.3255813953488373,10.0,10.0,10.0,0,0,0,0,
Emmanuel Sanders,6400.0,WR,DEN,HOU,2.3125000298023224,2.3125000298023224,2.3125000298023224,14.800000190734863,14.800000190734863,14.800000190734863,0,0,0,0,
Robert Woods,7000.0,WR,LAR,NO,2.2857142857142856,2.2857142857142856,2.2857142857142856,16.0,16.0,16.0,0,0,0,0,
Taylor Gabriel,5100.0,WR,CHI,BUF,2.2745098787195546,2.2745098787195546,2.2745098787195546,11.600000381469727,11.600000381469727,11.600000381469727,0,0,0,0,
Phillip Lindsay,5500.0,RB,DEN,HOU,2.272727272727273,2.272727272727273,2.272727272727273,12.5,12.5,12.5,0,0,0,0,
Maurice Harris,3300.0,WR,WAS,ATL,2.272727272727273,2.272727272727273,2.272727272727273,7.5,7.5,7.5,0,0,0,0,
Melvin Gordon,8200.0,RB,LAC,SEA,2.268292729447528,2.268292729447528,2.268292729447528,18.600000381469727,18.600000381469727,18.600000381469727,0,0,0,0,
Danny Amendola,4700.0,WR,MIA,NYJ,2.255319230099942,2.255319230099942,2.255319230099942,10.600000381469727,10.600000381469727,10.600000381469727,0,0,0,0,
Bears,4100.0,DST,CHI,BUF,2.243902392503692,2.243902392503692,2.243902392503692,9.199999809265137,9.199999809265137,9.199999809265137,0,0,0,0,
