player,position,team,upper,lower,points,sdPts,positionRank,dropoff,tier,sdRank,risk,,,
Michael Curtis,QB,MA,23.7,23.7,25.1,267,2.14,17,0.66,0,0,,,
A.J. Erdely,QB,UAB,23.7,23.7,24.9,248,1.67,31,0.87,0,0,,,
David Montgomery,RB,IOWAST,21.1,21.1,24.9,,,97,0.92,34,0.14,,,
Travis Etienne,RB,CLEM,21.9,21.9,24.8,,,101,1.44,16,0.15,,,
Ross Comis,QB,MA,23.2,23.2,24.7,265,2.12,26,0.5,0,0,,,
Jordan Love,QB,UTAHST,22.9,22.9,24.7,287,2.29,11,0.35,0,0,,,
B.J. Smith,RB,TROY,21.4,21.4,24.6,,,109,1.36,14,0.12,,,
Dan Ellington,QB,GAST,22.4,22.4,24.4,273,1.6,36,0.52,0,0,,,
Jordan Ta'amu,QB,MISS,22.5,22.5,24.4,286,1.86,32,0.38,0,0,,,
Shai Werts,QB,GAS,24.2,24.2,24.4,149,1.47,80,0.82,0,0,,,
Michael Warren II,RB,CINCY,21.1,21.1,24.4,,,99,1.24,24,0.09,,,
Desmond Ridder,QB,CINCY,22.3,22.3,24.3,277,1.8,40,0.29,0,0,,,
Bryce Perkins,QB,UVA,23.2,23.2,24.2,232,2.1,48,0.45,0,0,,,
Manny Wilkins,QB,ARIZST,21.5,21.5,24.2,324,1.76,22,0.34,0,0,,,
Caleb Evans,QB,LAMON,22.9,22.9,24.2,249,1.54,52,0.55,0,0,,,
Jonathan Taylor,RB,WISC,20.8,20.8,24.1,,,146,0.89,7,0.11,,,
Sawyer Smith,QB,TROY,22.3,22.3,23.9,268,2.31,26,0.21,0,0,,,
Brett Rypien,QB,BOISE,21.3,21.3,23.7,314,2.33,2,0.05,0,0,,,
Sam Hartman,QB,WAKE,22.2,22.2,23.6,266,2.26,28,0.16,0,0,,,
Tyler Huntley,QB,UTAH,22.1,22.1,23.5,259,1.57,40,0.45,0,0,,,
Malik Rosier,QB,MIAMI,21.9,21.9,23.5,277,1.66,32,0.57,0,0,,,
Dwayne Haskins,QB,OHIOST,22.4,22.4,23.3,240,2.97,10,0.12,0,0,,,
Trevon Brown,WR,ECU,18,18,23.3,,,0,0,100,0.84,,,
Alan Bowman,QB,TXTECH,20.9,20.9,23.3,328,2.14,5,0.1,0,0,,,
Chris Robison,QB,FAU,21.5,21.5,23.3,284,1.81,28,0.3,0,0,,,
