player,position,team,upper,lower,points,sdPts,positionRank,dropoff,tier,sdRank,risk,,,
Nykeim Johnson,WR,CUSE,9.8,9.8,12.1,,,3,0.01,54,0.35,,,
Darnell Woolfolk,RB,ARMY,11.4,11.4,12.1,,,64,0.74,4,0.06,,,
Arthur Jackson III,WR,EMICH,9.8,9.8,12.1,,,0,0,50,0.46,,,
Moe Neal,WR,CUSE,10.6,10.6,12.1,,,55,0.18,21,0.18,,,
Alex Hornibrook,QB,WISC,11.8,11.8,12,165,1.8,-7,0,0,0,,,
Antonio Williams,RB,UNC,10.7,10.7,12,,,49,0.53,15,0.09,,,
Kanawai Noa,WR,CAL,9.6,9.6,12,,,1,0,51,0.37,,,
Reggie Roberson Jr.,WR,WVU,9.9,9.9,12,,,1,0,56,0.4,,,
Jabir Daughtry-Frye,RB,TROY,11.1,11.1,11.9,,,49,0.5,17,0.15,,,
Max Borghi,RB,WASHST,9.8,9.8,11.9,,,24,0.4,18,0.34,,,
Darius Anderson,RB,TCU,10.5,10.5,11.9,,,76,0.4,3,0.02,,,
A.J. Ouellette,RB,OHIO,10.4,10.4,11.8,,,56,0.55,12,0.13,,,
Northern Illinois,DEF,NILL,13.4,11.8,11.8,,,0,0,0,0,13.6,3.2,1.08
K.J. Hill,WR,OHIOST,9.5,9.5,11.8,,,0,0,51,0.38,,,
Raheem Blackshear,RB,RUT,9.8,9.8,11.7,,,40,0.13,24,0.31,,,
Reggie Gallaspy II,RB,NCST,10.8,10.8,11.7,,,42,0.82,7,0.07,,,
Tarique Milton,WR,IOWAST,9,9,11.7,,,0,0,58,0.22,,,
Sheriron Jones,QB,NMEX,11.5,11.5,11.7,148,1.14,25,0.08,0,0,,,
Darrin Hall,RB,PITT,10.6,10.6,11.7,,,59,0.47,10,0.02,,,
Devine Ozigbo,RB,NEB,10.5,10.5,11.6,,,52,0.48,15,0.07,,,
Damien Harris,RB,BAMA,10.6,10.6,11.6,,,56,0.4,14,0.11,,,
Aeris Williams,RB,MISSST,10.3,10.3,11.5,,,75,0.27,8,0.02,,,
Osirus Mitchell,WR,MISSST,9.5,9.5,11.5,,,0,0,56,0.36,,,
Warren Wand,RB,ARKST,10.4,10.4,11.5,,,55,0.32,16,0.09,,,
Keith Corbin,WR,HOU,9.5,9.5,11.5,,,0,0,55,0.48,,,
Tim Jones,WR,USM,9.1,9.1,11.4,,,0,0,63,0.17,,,
Washington State,DEF,WASHST,13.4,11.4,11.4,,,0,0,0,0,22.4,3.42,1.72
Steven Sims Jr.,WR,KANSAS,8.6,8.6,11.3,,,2,0,46,0.23,,,
Justyn Ross,WR,CLEM,9.7,9.7,11.3,,,0,0,55,0.47,,,
Jalen Knox,WR,MIZZOU,9.5,9.5,11.3,,,3,0,56,0.36,,,
Arkansas State,DEF,ARKST,13,11.3,11.3,,,0,0,0,0,19.3,2.6,1.49
Tulsa,DEF,TULSA,13,11.3,11.3,,,0,0,0,0,16,1.76,1.88
Andre Wilson,WR,UAB,9.2,9.2,11.2,,,3,0,53,0.41,,,
UCF,DEF,UCF,12.7,11.2,11.2,,,0,0,0,0,18.8,1.3,1.98
Cam Akers,RB,FSU,10,10,11.2,,,57,0.45,10,0.06,,,
T.J. Rahming,WR,DUKE,8.8,8.8,11.2,,,1,0,42,0.37,,,
North Carolina State,DEF,NCST,12.9,11.1,11.1,,,0,0,0,0,19,2.97,1.32
Gabriel Davis,WR,UCF,9.1,9.1,11.1,,,0,0,44,0.46,,,
D'Wayne Eskridge,WR,WMICH,9.3,9.3,11.1,,,1,0,55,0.36,,,
Derrick Gore,RB,LAMON,9.9,9.9,11.1,,,53,0.48,9,0.08,,,
Corey Sutton,WR,APLST,9.7,9.7,11.1,,,0,0,48,0.6,,,
Terry Wilson,QB,UK,10.5,10.5,11.1,117,0.92,32,0.17,0,0,,,
Robert Brown Jr.,RB,TXSTSM,9.8,9.8,11.1,,,66,0.27,8,0.03,,,
Boise State,DEF,BOISE,12.2,11.1,11.1,,,0,0,0,0,15.6,2.68,1.16
Stephen Carr,RB,USC,9.6,9.6,11.1,,,73,0.16,8,0.02,,,
Patrick Carr,RB,HOU,9.9,9.9,11.1,,,50,0.28,18,0.14,,,
Taj Harris,WR,CUSE,8.8,8.8,11.1,,,0,0,54,0.22,,,
Iowa State,DEF,IOWAST,12.6,11.1,11.1,,,0,0,0,0,15.1,3.51,1.05
Andre Williams,WR,AKRON,9.1,9.1,11,,,0,0,52,0.36,,,
Romello Ross,RB,CMICH,9.8,9.8,11,,,60,0.35,10,0.06,,,
Da'Leon Ward,RB,TXTECH,9.5,9.5,11,,,34,0.44,17,0.11,,,
Fidel Ogbeifun,TE,LIB,8.8,8.8,11,,,0,0,53,0.37,,,
J'mar Smith,QB,LATECH,10.5,10.5,11,178,0.84,8,0.11,0,0,,,
Tim Jordan,RB,TENN,10,10,10.9,,,42,0.55,14,0.12,,,
Tra Barnett,RB,GAST,9.8,9.8,10.9,,,47,0.56,9,0.08,,,
USC,DEF,USC,12.4,10.9,10.9,,,0,0,0,0,18.7,3.19,1.05
Fresno State,DEF,FRESNO,12.8,10.9,10.9,,,0,0,0,0,20.8,2.59,1.8
Clayton Thorson,QB,NWEST,10.2,10.2,10.9,186,0.92,-4,0.26,0,0,,,
Jordan Scarlett,RB,FLA,10,10,10.9,,,53,0.46,11,0.08,,,
Clinton Lynch,RB,GATECH,10.3,10.3,10.9,,,27,0.18,19,0.72,,,
Lynn Bowden,WR,UK,8.2,8.2,10.9,,,1,0,43,0.39,,,
Georgia State,DEF,GAST,12.3,10.8,10.8,,,0,0,0,0,18.2,2.81,1.16
Tahj Deans,WR,ECU,8.7,8.7,10.8,,,0,0,46,0.34,,,
Josiah Deguara,TE,CINCY,8.7,8.7,10.8,,,0,0,51,0.28,,,
Landon Wolf,WR,OKLAST,8.8,8.8,10.8,,,2,0,48,0.33,,,
Jordan Mitchell,WR,USM,8.3,8.3,10.8,,,0,0,50,0.36,,,
Javon Thomas,RB,TULSA,9.2,9.2,10.7,,,74,0.14,4,0.02,,,
Maurice Ffrench,WR,PITT,9.1,9.1,10.7,,,10,0.03,45,0.38,,,
Lyn-J Dixon,RB,CLEM,10.1,10.1,10.7,,,55,0.59,8,0.03,,,
Stephen Guidry,WR,MISSST,9.3,9.3,10.7,,,0,0,48,0.55,,,
Joe Burrow,QB,LSU,10.2,10.2,10.7,157,0.77,18,0.14,0,0,,,
Henry Ruggs,WR,BAMA,9,9,10.7,,,0,0,48,0.52,,,
Duke,DEF,DUKE,12.8,10.7,10.7,,,0,0,0,0,24.2,2.59,2.18
Omar Bayless,WR,ARKST,8.6,8.6,10.7,,,0,0,57,0.2,,,
Eastern Michigan,DEF,EMICH,12.5,10.7,10.7,,,0,0,0,0,18.3,2.24,1.43
Khaleb Coleman,WR,LIB,9.3,9.3,10.7,,,0,0,46,0.58,,,
Teddy Veal,WR,LATECH,8,8,10.7,,,0,0,48,0.11,,,
Damarea Crockett,RB,MIZZOU,9.5,9.5,10.6,,,56,0.31,13,0.08,,,
Nyqwan Murray,WR,FSU,8.6,8.6,10.6,,,0,0.01,53,0.3,,,
Keenen Johnson,WR,TULSA,8.8,8.8,10.6,,,0,0,47,0.41,,,
Utah,DEF,UTAH,12.8,10.6,10.6,,,0,0,0,0,27,3.18,1.86
Gatlin Casey,WR,MTSU,8.9,8.9,10.6,,,0,0,46,0.46,,,
Darren Woods Jr.,WR,UNLV,8.6,8.6,10.6,,,1,0,44,0.36,,,
D.J. Knox,RB,PURDUE,9.5,9.5,10.6,,,49,0.37,13,0.08,,,
Marshall,DEF,MRSHL,12.4,10.6,10.6,,,0,0,0,0,21.5,2.32,1.4
Jeremy Larkin,RB,NWEST,8.9,8.9,10.6,,,32,0.38,18,0.03,,,
Brandon Presley,WR,UNLV,7.8,7.8,10.5,,,1,0,52,0.17,,,
Jeff Thomas,WR,MIAMI,8.6,8.6,10.5,,,1,0,57,0.25,,,
James Graham,QB,GATECH,10.4,10.4,10.5,91,1.27,18,0.07,0,0,,,
Miami (Fla.),DEF,MIAMI,12.3,10.5,10.5,,,0,0,0,0,18.7,3.39,1.06
Frank Darby,WR,ARIZST,8.5,8.5,10.5,,,0,0.02,55,0.2,,,
Adrian Hardy,WR,LATECH,8.3,8.3,10.4,,,0,0,50,0.28,,,
T.J. Hockenson,TE,IOWA,8.8,8.8,10.4,,,0,0.11,52,0.24,,,
RJ Turner,WR,LAMON,8.6,8.6,10.4,,,0,0,53,0.28,,,
Chase Claypool,WR,ND,8.5,8.5,10.4,,,0,0,45,0.36,,,
Lawrence Cager,WR,MIAMI,8.9,8.9,10.4,,,0,0,49,0.47,,,
Justin Hobbs,WR,TULSA,8.3,8.3,10.4,,,0,0,52,0.24,,,
Minnesota,DEF,MINN,12.3,10.4,10.4,,,0,0,0,0,22.9,2.97,1.39
Elijah Holyfield,RB,UGA,9.5,9.5,10.3,,,69,0.34,4,0.02,,,
Tyron Johnson,WR,OKLAST,9,9,10.3,,,1,0.11,48,0.38,,,
Auburn,DEF,AUBURN,11.9,10.3,10.3,,,0,0,0,0,17.3,2.8,1.1
Taiwan Deal,RB,WISC,9.8,9.8,10.3,,,58,0.58,3,0.02,,,
Oklahoma State,DEF,OKLAST,12,10.3,10.3,,,0,0,0,0,24.1,3.71,1.34
Nick Brossette,RB,LSU,9.4,9.4,10.3,,,53,0.5,8,0.04,,,
Squally Canada,RB,BYU,9.3,9.3,10.2,,,50,0.44,10,0.05,,,
Terry McLaurin,WR,OHIOST,9,9,10.2,,,0,0,37,0.68,,,
Alabama,DEF,BAMA,11.5,10.2,10.2,,,0,0,0,0,15.7,2.97,0.81
Flynn Nagel,WR,NWEST,7.8,7.8,10.2,,,0,0,46,0.15,,,
San Diego State,DEF,SDGST,11.3,10.2,10.2,,,0,0,0,0,18.2,1.19,1.63
Deshaunte Jones,WR,IOWAST,8.2,8.2,10.2,,,1,0,44,0.32,,,
Vic Wharton III,WR,CAL,7.7,7.7,10.2,,,1,0,46,0.16,,,
Riley Miller,WR,BALLST,8.2,8.2,10.1,,,0,0,47,0.35,,,
Lamical Perine,RB,FLA,9.4,9.4,10.1,,,46,0.41,19,0.04,,,
Anthony Scott,RB,ECU,8.9,8.9,10.1,,,39,0.36,16,0.1,,,
Justin Jefferson,WR,LSU,8.3,8.3,10.1,,,2,0,47,0.28,,,
Aaron Fuller,WR,WASH,8.3,8.3,10.1,,,0,0,52,0.24,,,
Adam Choice,RB,CLEM,9.5,9.5,10.1,,,56,0.56,3,0.03,,,
Florida,DEF,FLA,11.9,10.1,10.1,,,0,0,0,0,22.1,2.04,1.53
Gary Brightwell,RB,ARIZ,9.3,9.3,10.1,,,67,0.34,4,0.02,,,
Sewo Olonilua,RB,TCU,9,9,10,,,50,0.31,12,0.07,,,
Tre Nixon,WR,UCF,8,8,10,,,0,0,39,0.37,,,
Larry Rountree III,RB,MIZZOU,9.4,9.4,10,,,60,0.46,4,0.02,,,
Deon Jackson,RB,DUKE,9.1,9.1,10,,,48,0.39,14,0.07,,,
Jamire Jordan,WR,FRESNO,8.1,8.1,10,,,2,0.02,55,0.21,,,
Tra Minter,RB,SALA,8.9,8.9,10,,,39,0.38,19,0.06,,,
Mississippi State,DEF,MISSST,11.5,9.9,9.9,,,0,0,0,0,14.1,2.68,0.88
Anthony Ratliff-Williams,WR,UNC,8.1,8.1,9.9,,,3,0,46,0.3,,,
Andrew Meyer,WR,OHIO,8.3,8.3,9.9,,,0,0,46,0.39,,,
Ohio State,DEF,OHIOST,11.6,9.9,9.9,,,0,0,0,0,20.9,2.71,1.24
Jake Ferguson,TE,WISC,8.4,8.4,9.9,,,0,0,42,0.46,,,
Kahale Warring,TE,SDGST,8.4,8.4,9.9,,,0,0,39,0.52,,,
Jace Sternberger,TE,TXAM,8.2,8.2,9.9,,,0,0,50,0.28,,,
Tony Ellison,WR,ARIZ,8.2,8.2,9.9,,,1,0.02,45,0.33,,,
Aaron McLean,WR,UCONN,8,8,9.9,,,0,0,48,0.24,,,
Austin Trammell,WR,RICE,7.7,7.7,9.8,,,2,0,45,0.17,,,
Notre Dame,DEF,ND,11.4,9.8,9.8,,,0,0,0,0,16.3,2.25,1.27
Ryan Davis,WR,AUBURN,7.4,7.4,9.8,,,1,0,45,0.14,,,
Rashod Bateman,WR,MINN,8.1,8.1,9.8,,,0,0,41,0.41,,,
A.J. Taylor,WR,WISC,8.5,8.5,9.8,,,1,0,42,0.51,,,
Peyton Bender,QB,KANSAS,9.3,9.3,9.8,183,1.03,-7,0.01,0,0,,,
Artavis Pierce,RB,OREGST,8.7,8.7,9.7,,,43,0.21,20,0.03,,,
Tyrone Owens,RB,NMEX,8.8,8.8,9.7,,,57,0.32,8,0.06,,,
South Florida,DEF,SFLA,11.5,9.7,9.7,,,0,0,0,0,25.1,3.61,1.05
Tennessee,DEF,TENN,11.4,9.7,9.7,,,0,0,0,0,15.5,2.33,1.08
Justin Hall,WR,BALLST,7.5,7.5,9.7,,,10,0.01,39,0.11,,,
UAB,DEF,UAB,11.1,9.7,9.7,,,0,0,0,0,16.6,3.22,0.54
Sage Surratt,WR,WAKE,8.2,8.2,9.7,,,0,0,47,0.35,,,
Evan Shirreffs,QB,CHARLO,9.5,9.5,9.7,145,0.91,6,0.14,0,0,,,
Dontae Strickland,RB,CUSE,8.8,8.8,9.7,,,44,0.38,12,0.04,,,
Shawndarrius Phillips,RB,FIU,8.9,8.9,9.6,,,37,0.48,12,0.09,,,
Binjimen Victor,WR,OHIOST,8.5,8.5,9.6,,,0,0,36,0.63,,,
C.J. Worton,WR,FIU,8.2,8.2,9.6,,,0,0,45,0.4,,,
Jawon Pass,QB,LVILLE,9.2,9.2,9.6,172,0.69,8,0.12,0,0,,,
Patrick Smith,WR,MTSU,7.7,7.7,9.6,,,0,0,40,0.3,,,
Troy,DEF,TROY,10.6,9.5,9.5,,,0,0,0,0,21.1,2.85,1.17
Lucky Jackson,WR,WKY,7.4,7.4,9.5,,,0,0,43,0.14,,,
Xavier Ubosi,WR,UAB,8.3,8.3,9.5,,,0,0,45,0.44,,,
Deondre Farrier,WR,ECU,7.4,7.4,9.5,,,1,0,43,0.27,,,
Dazz Newsome,WR,UNC,7.7,7.7,9.5,,,3,0.01,42,0.24,,,
K.D. Nixon,WR,COLO,7.3,7.3,9.5,,,1,0.01,46,0.3,,,
Colorado,DEF,COLO,11.6,9.5,9.5,,,0,0,0,0,27.7,2.83,1.72
Iowa,DEF,IOWA,11.5,9.5,9.5,,,0,0,0,0,21.1,2.72,1.32
Dredrick Snelson,WR,UCF,7.6,7.6,9.4,,,0,0.02,37,0.36,,,
Toledo,DEF,TOLEDO,10.5,9.4,9.4,,,0,0,0,0,21.1,2.3,1.16
Johnnie Dixon,WR,OHIOST,8.2,8.2,9.4,,,0,0.02,32,0.61,,,
Virginia Tech,DEF,VATECH,11.1,9.4,9.4,,,0,0,0,0,22.5,2.84,1.05
Line Latu,WR,EMICH,7.9,7.9,9.3,,,1,0,44,0.33,,,
Zavier Scott,WR,UCONN,7.5,7.5,9.3,,,22,0.03,26,0.21,,,
Rashad Medaris,WR,CINCY,7.8,7.8,9.3,,,0,0,44,0.34,,,
Myron Gailliard,WR,SMU,7.7,7.7,9.3,,,0,0,37,0.39,,,
Isaiah Hodgins,WR,OREGST,7.6,7.6,9.3,,,0,0,40,0.33,,,
Georgia,DEF,UGA,10.9,9.3,9.3,,,0,0,0,0,17.4,1.79,1.03
Ta'Zhawn Henry,RB,TXTECH,8.1,8.1,9.3,,,27,0.46,14,0.02,,,
Riley Ridley,WR,UGA,7.7,7.7,9.2,,,1,0,41,0.34,,,
TCU,DEF,TCU,10.3,9.2,9.2,,,0,0,0,0,17.9,2.92,0.66
Jacquez Sloan,WR,WKY,7.3,7.3,9.2,,,0,0,50,0.11,,,
Kyle Fourtenbary,TE,WKY,7.3,7.3,9.2,,,0,0,33,0.37,,,
Trey Smith,RB,LVILLE,8.3,8.3,9.2,,,51,0.31,9,0.04,,,
Marcus Bennett,WR,AF,7.9,7.9,9.1,,,0,0,46,0.36,,,
Timothy Wilson Jr.,WR,SDGST,7.9,7.9,9.1,,,0,0,40,0.46,,,
Jauan Jennings,WR,TENN,7.8,7.8,9.1,,,0,0,42,0.39,,,
Jakobi Meyers,WR,NCST,6.9,6.9,9.1,,,0,0,40,0.15,,,
Quartney Davis,WR,TXAM,7,7,9.1,,,1,0,40,0.27,,,
Anthony Anderson,RB,MRSHL,8.8,8.8,9,,,42,0.66,3,0.02,,,
KJ Hamler,WR,PSU,7.8,7.8,9,,,2,0.06,40,0.36,,,
Miles Sanders,RB,PSU,8.2,8.2,9,,,48,0.34,9,0.07,,,
Donnie Lee,RB,UAB,7.8,7.8,9,,,29,0.31,20,0.08,,,
Jaylon Redd,WR,OREG,7.8,7.8,9,,,3,0.03,30,0.52,,,
Kyle Buss,WR,UCONN,7.1,7.1,9,,,0,0,46,0.21,,,
Jeremiah Holloman,WR,UGA,7.7,7.7,9,,,0,0,42,0.39,,,
Texas,DEF,TEXAS,10.8,9,9,,,0,0,0,0,21.9,2.34,1.18
Josh Oliver,TE,SJST,7,7,9,,,0,0,39,0.21,,,
Hergy Mayala,WR,UCONN,7,7,9,,,0,0,42,0.16,,,
Virginia,DEF,UVA,10.9,9,9,,,0,0,0,0,23.9,3.12,1.24
Hasise Dubois,WR,UVA,7.2,7.2,8.9,,,0,0,41,0.25,,,
Victor Tucker,WR,CHARLO,6.8,6.8,8.9,,,0,0,40,0.12,,,
Jaylen Waddle,WR,BAMA,7.5,7.5,8.9,,,0,0,49,0.22,,,
Amari Rodgers,WR,CLEM,7.2,7.2,8.9,,,0,0,41,0.28,,,
Pittsburgh,DEF,PITT,10.7,8.9,8.9,,,0,0,0,0,26.6,2.05,1.41
Sadiq Palmer,WR,MA,7.6,7.6,8.9,,,0,0.04,45,0.25,,,
Wesley Kennedy III,WR,GAS,8.4,8.4,8.9,,,34,0.34,20,0.09,,,
Texas-El Paso,DEF,UTEP,10.9,8.9,8.9,,,0,0,0,0,22.1,1.7,1.46
Kendric Pryor,WR,WISC,7.8,7.8,8.8,,,10,0.17,28,0.33,,,
Utah State,DEF,UTAHST,9.9,8.8,8.8,,,0,0,0,0,25.5,2.46,0.83
Devin Duvernay,WR,TEXAS,7.1,7.1,8.8,,,1,0,43,0.18,,,
Mason Hays,WR,TXSTSM,7,7,8.8,,,0,0,42,0.19,,,
Raelon Singleton,WR,HOU,7.5,7.5,8.8,,,0,0,37,0.45,,,
Josh Love,QB,SJST,8,8,8.8,191,0.81,-2,0,0,0,,,
Mik'Quan Deane,TE,WKY,7.3,7.3,8.8,,,0,0,36,0.38,,,
Ty'Son Williams,RB,SC,8.1,8.1,8.8,,,48,0.35,7,0.02,,,
Noah Fant,TE,IOWA,7.4,7.4,8.8,,,0,0,34,0.44,,,
Rafael Araujo-Lopes,WR,PITT,7,7,8.8,,,1,0,40,0.21,,,
JoJo Ward,WR,HAWAII,7.3,7.3,8.8,,,0,0,40,0.32,,,
Seth Paige,RB,GAST,8.1,8.1,8.8,,,42,0.48,8,0.02,,,
Sean Riley,WR,CUSE,6.9,6.9,8.7,,,3,0,40,0.14,,,
Jager Gardner,RB,TEMPLE,8,8,8.7,,,51,0.24,10,0.01,,,
Lopini Katoa,RB,BYU,7.1,7.1,8.7,,,30,0.18,16,0.11,,,
Gary Jennings,WR,WVU,7,7,8.7,,,0,0,42,0.23,,,
Darius Slayton,WR,AUBURN,7.3,7.3,8.7,,,0,0,49,0.2,,,
Trevon Bradford,WR,OREGST,7.2,7.2,8.7,,,8,0.01,28,0.36,,,
Emeka Emezie,WR,NCST,7.1,7.1,8.7,,,0,0,38,0.34,,,
Tyre McCants,WR,SFLA,7.3,7.3,8.7,,,4,0,38,0.31,,,
Boston College,DEF,BC,10.5,8.7,8.7,,,0,0,0,0,23.6,2.67,0.98
Danny Davis,WR,WISC,7.1,7.1,8.6,,,3,0,40,0.21,,,
Kaden Smith,TE,STNFRD,6.7,6.7,8.6,,,0,0,43,0.09,,,
D'Andre Ferby,RB,WKY,7.5,7.5,8.6,,,30,0.37,12,0.08,,,
DeeJay Dallas,WR,MIAMI,8.3,8.3,8.6,,,44,0.34,12,0.06,,,
Otis Anderson,WR,UCF,7.6,7.6,8.6,,,25,0.28,14,0.23,,,
Jerry Howard,RB,GATECH,8.1,8.1,8.6,,,52,0.4,5,0.03,,,
Michigan,DEF,MICH,10.3,8.6,8.6,,,0,0,0,0,23.4,3.08,0.96
Shi Smith,WR,SC,7.1,7.1,8.6,,,0,0,44,0.23,,,
Mecole Hardman,WR,UGA,6.8,6.8,8.6,,,4,0.02,38,0.24,,,
Memphis,DEF,MEMP,10.1,8.6,8.6,,,0,0,0,0,25.7,1.79,1.16
Irv Smith Jr.,TE,BAMA,7.3,7.3,8.5,,,0,0,39,0.37,,,
Michigan State,DEF,MICHST,10.4,8.5,8.5,,,0,0,0,0,17.9,2.03,1.06
Hunter Renfrow,WR,CLEM,6.8,6.8,8.5,,,0,0,39,0.22,,,
Anthony Schwartz,WR,AUBURN,7.8,7.8,8.5,,,16,0.3,26,0.18,,,
Georgia Southern,DEF,GAS,10.5,8.5,8.5,,,0,0,0,0,25.1,1.58,1.25
Trenton Irwin,WR,STNFRD,6.2,6.2,8.5,,,0,0,37,0.1,,,
Leddie Brown,RB,WVU,7.4,7.4,8.4,,,30,0.37,15,0.1,,,
Connor Heyward,RB,MICHST,7.4,7.4,8.4,,,27,0.36,14,0.02,,,
Seth Green,WR,MINN,8.2,8.2,8.4,,,20,0.84,6,0.05,,,
Tavien Feaster,RB,CLEM,7.9,7.9,8.4,,,47,0.38,5,0.03,,,
Artur Sitkowski,QB,RUT,8.1,8.1,8.4,181,0.88,0,0.02,0,0,,,
Taysir Mack,WR,PITT,6.8,6.8,8.4,,,0,0,46,0.13,,,
Xavier Jones,RB,SMU,7.5,7.5,8.4,,,31,0.28,14,0.11,,,
Garrett Groshek,RB,WISC,7.3,7.3,8.4,,,37,0.14,15,0.12,,,
Cornelius McCoy,WR,GAST,6.6,6.6,8.4,,,0,0,41,0.21,,,
Dennis Robinson,WR,NILL,6.9,6.9,8.4,,,0,0,32,0.38,,,
Josh Jacobs,RB,BAMA,7.9,7.9,8.4,,,32,0.53,10,0.02,,,
Al'Dontre Davis,WR,TCU,6.5,6.5,8.4,,,0,0,40,0.13,,,
D'Vonte Price,RB,FIU,7.6,7.6,8.3,,,42,0.34,8,0.02,,,
Maurice Washington,RB,NEB,7.1,7.1,8.3,,,32,0.18,17,0.02,,,
Tre Hartley,WR,SJST,6.8,6.8,8.3,,,0,0,40,0.22,,,
Fred Trevillion,WR,SDGST,6.9,6.9,8.3,,,2,0,48,0.12,,,
Southern Methodist,DEF,SMU,10.8,8.3,8.3,,,0,0,0,0,37,2.26,1.82
James Price,WR,WYO,7.1,7.1,8.3,,,-1,0,42,0.3,,,
Shadell Bell,TE,CLEM,6.9,6.9,8.3,,,0,0,27,0.47,,,
Bruno Labelle,TE,CINCY,6.3,6.3,8.3,,,0,0,36,0.14,,,
Darnell Salomon,WR,SFLA,7.3,7.3,8.2,,,0,0,32,0.54,,,
Ventell Bryant,WR,TEMPLE,6.6,6.6,8.2,,,0,0,44,0.12,,,
South Alabama,DEF,SALA,10.9,8.2,8.2,,,0,0,0,0,38.8,2.63,1.97
Appalachian State,DEF,APLST,9.6,8.2,8.2,,,0,0,0,0,23.2,2.75,0.7
Samson Nacua,WR,UTAH,6.7,6.7,8.2,,,0,0,36,0.29,,,
Isaiah Zuber,WR,KSTATE,6.3,6.3,8.1,,,0,0,36,0.24,,,
Austin Fort,TE,WYO,7.3,7.3,8.1,,,1,0.08,29,0.5,,,
Jaqwis Dancy,RB,LATECH,7.4,7.4,8.1,,,42,0.26,9,0.04,,,
Van Jefferson,WR,FLA,6.7,6.7,8.1,,,1,0,37,0.27,,,
Hutch White,WR,TXSTSM,6,6,8.1,,,0,0,32,0.26,,,
Alize Mack,TE,ND,6.3,6.3,8.1,,,0,0,35,0.18,,,
Napoleon Maxwell,RB,FIU,7.6,7.6,8.1,,,51,0.31,3,0.02,,,
Marquez Callaway,WR,TENN,6.4,6.4,8.1,,,0,0,47,0.15,,,
Dayton Furuta,RB,HAWAII,6.8,6.8,8.1,,,36,0.25,12,0.11,,,
Ty Jones,WR,WASH,7,7,8.1,,,0,0,38,0.36,,,
Austin Maloney,WR,FIU,6.9,6.9,8.1,,,0,0,38,0.32,,,
Keynan Foster,WR,UTEP,7,7,8.1,,,3,0.01,39,0.29,,,
Kasim Hill,QB,MD,7.7,7.7,8.1,137,0.98,-1,0.01,0,0,,,
Kendrick Edwards,WR,ARKST,6.9,6.9,8,,,0,0,34,0.41,,,
Eric Kumah,WR,VATECH,6.6,6.6,8,,,0,0,38,0.23,,,
Johnathan Lloyd,WR,DUKE,6.4,6.4,8,,,0,0,33,0.25,,,
Bryce Williams,RB,MINN,7.3,7.3,8,,,60,0.14,6,0.02,,,
Spencer Tears,WR,NILL,6.5,6.5,8,,,0,0,33,0.28,,,
Middle Tennessee,DEF,MTSU,10,8,8,,,0,0,0,0,21.6,2.44,0.81
CT Thomas,WR,BOISE,6.5,6.5,8,,,2,0,34,0.21,,,
Johnathon Johnson,WR,MIZZOU,6.5,6.5,8,,,1,0,41,0.19,,,
Devon Spalding,RB,CMICH,6.8,6.8,7.9,,,29,0.24,17,0.02,,,
Raghib Ismail Jr.,WR,WYO,6.5,6.5,7.9,,,1,0.01,37,0.22,,,
Tez Parks,RB,USM,6.9,6.9,7.9,,,26,0.28,15,0.12,,,
Demetric Felton,WR,UCLA,6.6,6.6,7.9,,,6,0.06,33,0.18,,,
Washington,DEF,WASH,9.5,7.9,7.9,,,0,0,0,0,17.1,1.82,0.74
Corey Lacanaria,WR,BALLST,6.2,6.2,7.9,,,0,0,36,0.19,,,
B.J. Daniels,RB,TXSA,7.2,7.2,7.9,,,37,0.33,9,0.06,,,
Darrell Langham,WR,MIAMI,6.7,6.7,7.9,,,0,0,35,0.34,,,
Darrell Stewart Jr.,WR,MICHST,6.5,6.5,7.9,,,6,0.01,34,0.16,,,
Jordan Asberry,RB,ARMY,7.5,7.5,7.9,,,16,0.12,13,0.61,,,
Najee Harris,RB,BAMA,7.5,7.5,7.9,,,53,0.3,2,0.02,,,
Army,DEF,ARMY,9.9,7.9,7.9,,,0,0,0,0,21.7,1.28,0.67
Houston,DEF,HOU,10.2,7.9,7.9,,,0,0,0,0,28.9,2.4,1.31
Scotty Washington,WR,WAKE,6.6,6.6,7.9,,,0,0,37,0.28,,,
Rice,DEF,RICE,9.8,7.9,7.9,,,0,0,0,0,19.6,2.35,0.81
Stephon Robinson Jr.,WR,KANSAS,6,6,7.8,,,0,0,36,0.12,,,
Andrew Beck,TE,TEXAS,6.2,6.2,7.8,,,0,0,34,0.2,,,
Ben Glines,WR,BC,7.3,7.3,7.8,,,41,0.29,9,0.11,,,
Ivory Kelly-Martin,RB,IOWA,7.1,7.1,7.8,,,39,0.22,10,0.08,,,
Taivon Jacobs,WR,MD,6.3,6.3,7.8,,,2,0.01,32,0.23,,,
Javen Banks,WR,TXSTSM,6.7,6.7,7.8,,,0,0.06,32,0.34,,,
Dillon Stoner,WR,OKLAST,6.5,6.5,7.7,,,0,0,36,0.26,,,
Zach Abey,RB,NAVY,7.6,7.6,7.7,,,40,0.59,1,0.03,,,
Javonis Isaac,TE,ARKST,6.1,6.1,7.7,,,0,0,34,0.33,,,
Illinois,DEF,ILL,9.9,7.7,7.7,,,0,0,0,0,26.5,1.6,1.51
Romello Brooker,TE,HOU,6.4,6.4,7.7,,,0,0,32,0.34,,,
Arizona State,DEF,ARIZST,9.8,7.7,7.7,,,0,0,0,0,28.5,2.75,0.77
