Rnk,Name,Team,Pos,Bye,Game,Pts,Sal
315,Ryan Fitzpatrick,TB,qb,5,CLV,0.2,"$4,800 "
314,Nick Foles,PHI,qb,9,CAR,0.2,"$4,500 "
311,Cody Kessler,JAX,qb,9,HST,0.2,"$4,400 "
317,Nathan Peterman,BUF,qb,11,@IND,0.1,"$4,200 "
318,Taylor Heinicke,CAR,qb,4,@PHI,0.1,"$4,000 "
319,Chase Daniel,CHI,qb,5,NE,0.1,"$4,500 "
320,Jeff Driskel,CIN,qb,9,@KC,0.1,"$4,200 "
321,Cooper Rush,DAL,qb,8,@WAS,0.1,"$4,200 "
322,Chad Kelly,DEN,qb,10,@ARZ,0.1,"$4,500 "
323,Matt Cassel,DET,qb,6,@MIA,0.1,"$4,400 "
324,Brandon Weeden,HST,qb,10,@JAX,0.1,"$4,300 "
325,Chad Henne,KC,qb,12,CIN,0.1,"$4,300 "
326,David Fales,MIA,qb,11,DET,0.1,"$4,000 "
327,Brian Hoyer,NE,qb,11,@CHI,0.1,"$4,500 "
328,Teddy Bridgewater,NO,qb,6,@BLT,0.1,"$4,500 "
329,Alex Tanney,NYG,qb,9,@ATL,0.1,"$4,000 "
330,Sean Mannion,LAR,qb,12,@SF,0.1,"$4,400 "
331,Geno Smith,LAC,qb,8,TEN,0.1,"$4,300 "
332,Nick Mullens,SF,qb,11,LAR,0.1,"$4,500 "
333,Blaine Gabbert,TEN,qb,8,@LAC,0.1,"$4,500 "
334,Colt McCoy,WAS,qb,4,DAL,0.1,"$4,400 "
303,Cody Latimer,NYG,wr,9,@ATL,0.1,"$3,000 "
304,Dante Pettis,SF,wr,11,LAR,0.1,"$3,500 "
277,Derek Watt,LAC,rb,8,TEN,0.1,"$3,000 "
276,Darren Sproles,PHI,rb,9,CAR,0.1,"$4,000 "
305,DeVante Parker,MIA,wr,11,DET,0,"$3,100 "
288,T.J. Logan,ARZ,rb,9,DEN,0,"$3,500 "
