player,position,team,upper,lower,points,YD,TD,sdPts,dropoff,sdRank,risk,DPA,SACK,INT
Laviska Shenault,WR,COLO,31.6,31.6,38.3,,,23,0.94,129,1.06,,,
Justice Hansen,QB,ARKST,33.5,33.5,36.2,424,2.66,43,0.66,0,0,,,
Kyler Murray,QB,OKLA,33.7,33.7,36.1,325,3.29,58,0.44,0,0,,,
Marcus McMaryion,QB,FRESNO,29.5,29.5,32,375,2.45,19,0.68,0,0,,,
David Pindell,QB,UCONN,30.4,30.4,32,272,1.88,86,0.84,0,0,,,
D'Eriq King,QB,HOU,28.3,28.3,30,279,2.44,38,0.83,0,0,,,
Steven Montez,QB,COLO,27.7,27.7,29.7,300,2.43,35,0.6,0,0,,,
Ian Book,QB,ND,26.3,26.3,28.7,322,2.42,25,0.43,0,0,,,
Devin Singletary,RB,FAU,24.9,24.9,28.1,,,131,1.54,14,0.09,,,
Mason Fine,QB,NTEXAS,25.1,25.1,27.7,325,2.76,4,0.3,0,0,,,
Michael Curtis,QB,MA,25.5,25.5,27.4,296,2.13,16,0.72,0,0,,,
Jack Abraham,QB,USM,23.9,23.9,26.7,347,2.22,8,0.37,0,0,,,
Brett Rypien,QB,BOISE,24.1,24.1,26.7,373,2.5,3,0.05,0,0,,,
Ross Comis,QB,MA,24.6,24.6,26.6,294,2.11,19,0.6,0,0,,,
Eric Dungey,QB,CUSE,24.8,24.8,26.5,273,1.53,50,0.77,0,0,,,
A.J. Erdely,QB,UAB,25.2,25.2,26.1,227,1.87,41,0.94,0,0,,,
Manny Wilkins,QB,ARIZST,23.4,23.4,25.9,355,1.83,21,0.32,0,0,,,
Lexington Thomas,RB,UNLV,22.4,22.4,25.7,,,114,1.39,15,0.12,,,
Sam Ehlinger,QB,TEXAS,23.1,23.1,25.4,304,1.67,28,0.5,0,0,,,
Dan Ellington,QB,GAST,22.7,22.7,24.5,275,1.62,38,0.46,0,0,,,
Taylor Cornelius,QB,OKLAST,22.2,22.2,24.3,298,1.95,20,0.38,0,0,,,
Justin Herbert,QB,OREG,22.9,22.9,24.2,259,2.36,24,0.34,0,0,,,
Blake Barnett,QB,SFLA,22.6,22.6,24,263,1.67,26,0.68,0,0,,,
Jonathan Banks,QB,TULANE,21.6,21.6,23.9,278,1.82,44,0.26,0,0,,,
KeeSean Johnson,WR,FRESNO,18.3,18.3,23.9,,,1,0,105,0.8,,,
Drew Eckels,QB,WKY,21.2,21.2,23.7,320,1.99,17,0.04,0,0,,,
Chase Jasmin,RB,SDGST,20.3,20.3,23.4,,,120,1.09,11,0.09,,,
Gardner Minshew,QB,WASHST,20.7,20.7,23.3,366,1.87,3,0.12,0,0,,,
Bryce Perkins,QB,UVA,22,22,23.1,230,2,47,0.33,0,0,,,
Chris Robison,QB,FAU,21.2,21.2,23,283,1.8,28,0.31,0,0,,,
Josh Adkins,QB,NMEXST,20.1,20.1,23,322,2.11,12,0.06,0,0,,,
Peyton Ramsey,QB,IND,20.9,20.9,22.5,269,1.81,24,0.34,0,0,,,
Nick Fitzgerald,QB,MISSST,22.1,22.1,22.3,160,1.01,86,0.76,0,0,,,
Tommy Lazzaro,QB,CMICH,21.3,21.3,22.3,214,1.75,54,0.47,0,0,,,
Trace McSorley,QB,PSU,21.5,21.5,22.3,214,1.65,45,0.54,0,0,,,
Ryan Finley,QB,NCST,19.7,19.7,22.2,321,1.67,10,0.07,0,0,,,
Desmond Ridder,QB,CINCY,20.5,20.5,22,256,1.76,36,0.28,0,0,,,
Tyler Huntley,QB,UTAH,20.8,20.8,21.9,230,1.45,43,0.48,0,0,,,
Olamide Zaccheaus,RB,UVA,17.8,17.8,21.7,,,24,0.16,72,0.75,,,
J'mar Smith,QB,LATECH,19.9,19.9,21.7,279,1.78,14,0.25,0,0,,,
Patrick Laird,RB,CAL,17.8,17.8,21.6,,,86,0.49,25,0.31,,,
Brent Stockstill,QB,MTSU,19.9,19.9,21.6,261,2.06,27,0.09,0,0,,,
Brock Purdy,QB,IOWAST,20.2,20.2,21.3,250,1.81,26,0.21,0,0,,,
Eno Benjamin,RB,ARIZST,18,18,21.2,,,74,0.61,32,0.28,,,
Drew Lock,QB,MIZZOU,19,19,21.1,290,1.77,11,0.19,0,0,,,
Max Gilliam,QB,UNLV,19.1,19.1,21.1,295,2.32,-7,0.05,0,0,,,
Kenny Pickett,QB,PITT,18.6,18.6,21,312,1.49,7,0.19,0,0,,,
Malik Rosier,QB,MIAMI,19.8,19.8,20.9,242,1.63,26,0.61,0,0,,,
Jordan Cronkrite,RB,SFLA,17.5,17.5,20.7,,,117,0.7,9,0.08,,,
James Proche,WR,SMU,16.3,16.3,20.7,,,1,0,81,0.86,,,
Jordan Love,QB,UTAHST,19.4,19.4,20.6,245,2.15,8,0.26,0,0,,,
Alan Bowman,QB,TXTECH,18.1,18.1,20.5,314,1.62,4,0.03,0,0,,,
Michael Warren II,RB,CINCY,18.1,18.1,20.4,,,88,1.04,19,0.09,,,
N'Keal Harry,WR,ARIZST,15.9,15.9,20.3,,,2,0.07,89,0.56,,,
Sam Hartman,QB,WAKE,18.8,18.8,20,250,1.84,23,0.09,0,0,,,
Kellen Mond,QB,TXAM,18.7,18.7,20,249,1.19,38,0.31,0,0,,,
Jalen Reagor,WR,TCU,16,16,19.8,,,3,0,84,0.78,,,
Josh Love,QB,SJST,17.1,17.1,19.6,307,1.96,-5,0,0,0,,,
Darius Bradwell,RB,TULANE,17.1,17.1,19.6,,,96,0.84,14,0.09,,,
Jawon Pass,QB,LVILLE,18,18,19.5,259,1.79,3,0.34,0,0,,,
Kyle Shurmur,QB,VANDY,17.2,17.2,19.5,307,1.73,-8,0.02,0,0,,,
Rondale Moore,WR,PURDUE,15.2,15.2,19.5,,,12,0.06,76,0.52,,,
Andy Isabella,WR,MA,15.2,15.2,19.3,,,7,0.01,86,0.58,,,
Kalija Lipscomb,WR,VANDY,15.1,15.1,19.3,,,3,0.01,78,0.65,,,
Marcus Childers,QB,NILL,18.1,18.1,19.1,236,1.59,24,0.23,0,0,,,
Jake Bentley,QB,SC,18.1,18.1,19.1,231,2.12,12,0.1,0,0,,,
Darnell Mooney,WR,TULANE,15.1,15.1,19.1,,,1,0,86,0.7,,,
Marquise Brown,WR,OKLA,15.4,15.4,19,,,0,0,89,0.73,,,
Kato Nelson,QB,AKRON,18.6,18.6,19,184,1.53,49,0.26,0,0,,,
Daniel Jones,QB,DUKE,17.7,17.7,19,221,1.62,27,0.29,0,0,,,
Marquez Stevenson,WR,HOU,15.5,15.5,18.9,,,9,0.26,75,0.48,,,
Adrian Hardy,WR,LATECH,15.1,15.1,18.9,,,0,0,87,0.7,,,
Spencer Brown,RB,UAB,16.6,16.6,18.9,,,95,0.94,7,0.09,,,
Kirk Merritt,WR,ARKST,13.9,13.9,18.9,,,0,0,73,0.45,,,
Jonathan Taylor,RB,WISC,15.7,15.7,18.8,,,116,0.55,7,0.06,,,
Rhett Rodriguez,QB,ARIZ,17.3,17.3,18.7,269,1.86,8,0.04,0,0,,,
Rico Bussey Jr.,WR,NTEXAS,15.5,15.5,18.7,,,0,0,74,0.95,,,
Jack Sears,QB,USC,17.4,17.4,18.6,255,1.95,3,0.04,0,0,,,
Darius Anderson,RB,TCU,16.3,16.3,18.6,,,91,0.92,7,0.04,,,
Terren Encalade,WR,TULANE,14.9,14.9,18.5,,,5,0.01,82,0.66,,,
Nico Evans,RB,WYO,15.9,15.9,18.5,,,104,0.62,10,0.07,,,
Evan Marshman,QB,RICE,17.5,17.5,18.4,182,0.97,50,0.77,0,0,,,
Bryce Love,RB,STNFRD,16.1,16.1,18.4,,,96,0.78,9,0.09,,,
Miles Boykin,WR,ND,14.8,14.8,18.2,,,0,0,86,0.71,,,
Justin McInnis,WR,ARKST,14.2,14.2,18.1,,,0,0,79,0.57,,,
CJ Verdell,RB,OREG,15.5,15.5,18.1,,,93,0.44,22,0.12,,,
David Blough,QB,PURDUE,16.5,16.5,18.1,274,1.42,4,0.14,0,0,,,
Travis Etienne,RB,CLEM,16.2,16.2,18,,,78,1,12,0.12,,,
Benjamin Snell Jr.,RB,UK,15.9,15.9,18,,,92,0.9,8,0.06,,,
Kai Locksley,QB,UTEP,17.5,17.5,17.8,174,0.97,46,0.56,0,0,,,
Alex Barnes,RB,KSTATE,16,16,17.8,,,86,0.92,13,0.06,,,
Marcus Outlow,RB,CSTCAR,15.8,15.8,17.8,,,91,0.8,10,0.09,,,
Antoine Wesley,WR,TXTECH,13.9,13.9,17.8,,,0,0,82,0.47,,,
K.J. Carta-Samuels,QB,COLST,16.2,16.2,17.6,253,1.81,-3,0.15,0,0,,,
Willie Jones III,QB,TXSTSM,16.7,16.7,17.6,202,1.55,29,0.24,0,0,,,
Lil'Jordan Humphrey,WR,TEXAS,13.7,13.7,17.5,,,3,0.11,79,0.35,,,
Jermar Jefferson,RB,OREGST,14.9,14.9,17.4,,,98,0.69,7,0.05,,,
Dorian Thompson-Robinson,QB,UCLA,16,16,17.4,249,1.62,10,0.06,0,0,,,
Cole McDonald,QB,HAWAII,16.2,16.2,17.4,230,1.36,24,0.16,0,0,,,
Joshua Kelley,RB,UCLA,15.3,15.3,17.4,,,67,0.78,24,0.08,,,
Jason Huntley,RB,NMEXST,15,15,17.2,,,46,0.5,43,0.26,,,
Dexter Williams,RB,ND,15.1,15.1,17.1,,,71,1.04,3,0.14,,,
Ryan Agnew,QB,SDGST,16.2,16.2,17.1,216,1.73,16,0.06,0,0,,,
Elijah Mitchell,RB,LALAF,15.8,15.8,17,,,68,0.89,21,0.18,,,
Teddy Veal,WR,LATECH,12.6,12.6,16.7,,,0,0,80,0.23,,,
Collin Johnson,WR,TEXAS,13,13,16.7,,,0,0,77,0.42,,,
Sewo Olonilua,RB,TCU,14.5,14.5,16.7,,,64,0.68,20,0.13,,,
Izzy Matthews,RB,COLOST,14.4,14.4,16.6,,,59,0.53,27,0.18,,,
Ben Hicks,QB,SMU,15.4,15.4,16.5,240,2.06,-6,0.06,0,0,,,
Kilton Anderson,QB,CSTCAR,15.8,15.8,16.5,202,1.74,15,0.05,0,0,,,
Tyrone Owens,RB,NMEX,13.9,13.9,16.4,,,89,0.46,14,0.16,,,
Jordan Ellis,RB,UVA,14.3,14.3,16.4,,,75,0.55,19,0.12,,,
Albert Okwuegbunam,TE,MIZZOU,12.7,12.7,16.4,,,0,0,68,0.68,,,
Trey Ragas,RB,LALAF,14.6,14.6,16.4,,,83,0.61,15,0.11,,,
Tyler Wiegers,QB,EMICH,14.4,14.4,16.3,254,1.42,6,0.08,0,0,,,
Myles Gaskin,RB,WASH,14.4,14.4,16.3,,,84,0.64,11,0.07,,,
Cole Kelley,QB,ARK,15.7,15.7,16.3,202,1.53,9,0.39,0,0,,,
James Morgan,QB,FIU,15.2,15.2,16.2,244,1.61,-2,0.08,0,0,,,
Zach Wilson,QB,BYU,15.4,15.4,16.2,223,1.24,14,0.26,0,0,,,
Tavares Thomas,RB,MTSU,14.6,14.6,16.2,,,48,0.68,20,0.43,,,
Zack Moss,RB,UTAH,14.2,14.2,16.1,,,86,0.64,10,0.07,,,
Alexander Mattison,RB,BOISE,14.6,14.6,16.1,,,66,0.89,14,0.12,,,
Ty Lee,WR,MTSU,12.9,12.9,16.1,,,5,0.04,65,0.48,,,
Jake Browning,QB,WASH,15.4,15.4,16.1,214,1.35,6,0.32,0,0,,,
Jaelon Darden,WR,NTEXAS,13,13,16,,,0,0,70,0.65,,,
Greg Dortch,WR,WAKE,12.7,12.7,15.9,,,1,0,67,0.56,,,
Blake LaRussa,QB,ODU,15,15,15.9,231,1.71,-5,0.12,0,0,,,
Trevor Lawrence,QB,CLEM,14.8,14.8,15.9,236,1.54,9,0.06,0,0,,,
Trayveon Williams,RB,TXAM,13.9,13.9,15.8,,,80,0.54,17,0.06,,,
Quez Watkins,WR,USM,13,13,15.8,,,1,0,65,0.68,,,
Travon McMillian,RB,COLO,13.7,13.7,15.8,,,85,0.37,15,0.12,,,
John Ursua,WR,HAWAII,12.4,12.4,15.7,,,0,0.05,66,0.46,,,
Malcolm Williams,WR,CSTCAR,12.5,12.5,15.5,,,5,0.12,72,0.31,,,
Andre Nunez,QB,LALAF,13.9,13.9,15.4,234,1.81,-1,0.03,0,0,,,
Skylar Thompson,QB,KSTATE,15.1,15.1,15.4,165,1.11,34,0.32,0,0,,,
Shamari Brooks,RB,TULSA,13.8,13.8,15.4,,,78,0.78,8,0.06,,,
David Montgomery,RB,IOWAST,13.5,13.5,15.4,,,78,0.56,12,0.09,,,
A.J. Bush,QB,ILL,15,15,15.4,165,0.88,55,0.27,0,0,,,
Kesean Strong,RB,ODU,14.2,14.2,15.3,,,54,0.74,18,0.3,,,
Jaylond Adams,WR,USM,12.4,12.4,15.3,,,2,0,68,0.51,,,
Jalen Guyton,WR,NTEXAS,12.8,12.8,15.3,,,0,0,65,0.71,,,
Darwin Thompson,RB,UTAHST,14.1,14.1,15.3,,,55,0.99,17,0.02,,,
Jonathan Duhart,WR,ODU,12.2,12.2,15.2,,,0,0,65,0.58,,,
Torrance Marable,RB,CSTCAR,14,14,15.2,,,72,0.45,11,0.44,,,
Marquis Young,RB,MA,13.3,13.3,15.2,,,66,0.55,20,0.12,,,
JJ Arcega-Whiteside,WR,STNFRD,12.8,12.8,15.2,,,0,0.02,60,0.79,,,
Garret Lewis,QB,NAVY,14.7,14.7,15.1,64,0.66,78,0.55,0,0,,,
K.J. Costello,QB,STNFRD,14.4,14.4,15,197,1.69,7,0.07,0,0,,,
Marcel Murray,RB,ARKST,13.4,13.4,15,,,62,0.63,17,0.14,,,
Braeden West,RB,SMU,13.2,13.2,15,,,63,0.48,22,0.1,,,
Isaiah Sanders,QB,AF,14.7,14.7,15,118,0.89,52,0.41,0,0,,,
Isaiah Zuber,WR,KSTATE,11.9,11.9,15,,,0,0,65,0.5,,,
Ty Gangi,QB,NEVADA,14.1,14.1,15,221,1.33,12,0.13,0,0,,,
Tyler Johnson,WR,MINN,12.1,12.1,14.9,,,0,0,68,0.69,,,
A.J. Richardson,WR,BOISE,12.3,12.3,14.9,,,0,0,73,0.54,,,
Jovon Durante,WR,FAU,11.5,11.5,14.9,,,5,0.01,73,0.18,,,
Darnell Woolfolk,RB,ARMY,13.4,13.4,14.8,,,84,0.77,3,0.04,,,
James Williams,RB,WASHST,12.1,12.1,14.8,,,37,0.23,37,0.18,,,
Bryce Williams,RB,MINN,12.3,12.3,14.6,,,104,0.26,5,0.02,,,
Tylan Wallace,WR,OKLAST,11.2,11.2,14.6,,,0,0,77,0.3,,,
Ronnie Rivers,RB,FRESNO,13.3,13.3,14.5,,,31,0.6,34,0.38,,,
Rakeem Boyd,RB,ARK,12,12,14.5,,,79,0.14,24,0.02,,,
Deebo Samuel,WR,SC,11.9,11.9,14.5,,,5,0.16,55,0.47,,,
Clemson,DEF,CLEM,15.7,14.4,14.4,,,0,0,0,0,12.2,4.27,1.44
Benny LeMay,RB,CHARLO,12.8,12.8,14.4,,,75,0.49,16,0.05,,,
Chase Garbers,QB,CAL,13.6,13.6,14.4,211,1.12,24,0.06,0,0,,,
Clayton Thorson,QB,NWEST,12.7,12.7,14.2,246,1.17,-7,0.24,0,0,,,
Trey Sermon,RB,OKLA,12.9,12.9,14.2,,,66,0.51,17,0.17,,,
Jalen Knox,WR,MIZZOU,11.8,11.8,14.2,,,3,0,71,0.43,,,
Jamal Custis,WR,CUSE,11.5,11.5,14.2,,,0,0,67,0.46,,,
Jauan Wesley,WR,NILL,10.8,10.8,14.1,,,0,0.02,61,0.3,,,
Willie Wright,WR,FAU,11.4,11.4,14,,,11,0.02,52,0.44,,,
J.J. Taylor,RB,ARIZ,11.9,11.9,14,,,76,0.43,14,0.09,,,
Tyler Vander Waal,QB,WYO,13.5,13.5,14,196,1.42,7,0.05,0,0,,,
Christian Gibson,RB,NMEXST,13,13,14,,,70,0.89,4,0.02,,,
DeAndre Torrey,RB,NTEXAS,12.8,12.8,13.9,,,38,0.96,16,0.16,,,
Kennedy Brooks,RB,OKLA,12.3,12.3,13.9,,,70,0.67,6,0.03,,,
Terry Wilson,QB,UK,13.4,13.4,13.9,155,1.09,34,0.21,0,0,,,
Darren Woods Jr.,WR,UNLV,11.4,11.4,13.8,,,1,0,55,0.62,,,
LJ Scott,RB,MICHST,12.3,12.3,13.8,,,67,0.49,18,0.07,,,
Cade Carney,RB,WAKE,12.6,12.6,13.8,,,61,0.7,13,0.09,,,
Reggie Gallaspy II,RB,NCST,12.7,12.7,13.7,,,44,1.05,9,0.08,,,
Rocky Lombardi,QB,MICHST,13.1,13.1,13.7,219,1.28,3,0.02,0,0,,,
Dillon Mitchell,WR,OREG,10.9,10.9,13.7,,,1,0,63,0.38,,,
Nick Smith,RB,NTEXAS,12.7,12.7,13.7,,,61,0.69,9,0.18,,,
Amon-Ra St. Brown,WR,USC,11.1,11.1,13.6,,,2,0,63,0.43,,,
Easop Winston,WR,WASHST,11,11,13.6,,,0,0,61,0.43,,,
Sheriron Jones,QB,NMEX,13.1,13.1,13.5,145,1.33,35,0.08,0,0,,,
CeeDee Lamb,WR,OKLA,11.5,11.5,13.5,,,0,0,59,0.66,,,
Tony Jones Jr.,RB,ND,12.3,12.3,13.4,,,72,0.55,15,0.03,,,
Johnny Ford,RB,SFLA,12.6,12.6,13.4,,,68,0.8,8,0.02,,,
Keenen Brown,TE,OKLAST,11.3,11.3,13.3,,,4,0.21,57,0.4,,,
John Hightower,WR,BOISE,11.2,11.2,13.3,,,11,0.32,52,0.41,,,
Tyre McCants,WR,SFLA,10.7,10.7,13.3,,,4,0.01,59,0.35,,,
North Texas,DEF,NTEXAS,13.9,13.3,13.3,,,0,0,0,0,16.5,2.63,1.94
Jake Fromm,QB,UGA,12.7,12.7,13.3,206,1.5,-2,0.04,0,0,,,
Deon Jackson,RB,DUKE,11.8,11.8,13.2,,,70,0.62,10,0.02,,,
Corey Taylor II,RB,TULSA,12.5,12.5,13.2,,,64,0.87,6,0.01,,,
Kelvin Harmon,WR,NCST,10.6,10.6,13.2,,,0,0,70,0.29,,,
D.J. Brown,WR,NILL,10.2,10.2,13.1,,,5,0.07,46,0.34,,,
Tyler Nevens,RB,SJST,11.6,11.6,13.1,,,65,0.45,16,0.1,,,
Trent Pennix,RB,NCST,11.9,11.9,13,,,38,0.11,30,0.57,,,
Nathan Elliott,QB,UNC,12.1,12.1,13,218,1.21,5,0.06,0,0,,,
Pooka Williams Jr.,RB,KANSAS,11,11,13,,,61,0.34,19,0.06,,,
Andre Williams,WR,AKRON,11,11,13,,,1,0,51,0.68,,,
Seth Boomer,QB,TULSA,11.9,11.9,12.9,196,1.25,15,0.09,0,0,,,
Britain Covey,WR,UTAH,9.6,9.6,12.9,,,4,0.01,63,0.21,,,
Jordan Mims,RB,FRESNO,11.5,11.5,12.9,,,38,0.35,38,0.13,,,
Trivenskey Mosley,RB,USM,10.2,10.2,12.8,,,71,0.15,14,0.03,,,
Kevin Mensah,RB,UCONN,11.3,11.3,12.8,,,69,0.4,10,0.1,,,
Jaqwis Dancy,RB,LATECH,11.5,11.5,12.8,,,61,0.49,13,0.09,,,
Qadree Ollison,RB,PITT,11.5,11.5,12.7,,,57,0.6,12,0.08,,,
Jace Sternberger,TE,TXAM,10.5,10.5,12.7,,,0,0,64,0.41,,,
Sean Modster,WR,BOISE,10.3,10.3,12.6,,,0,0,64,0.35,,,
Arthur Jackson III,WR,EMICH,10,10,12.6,,,0,0,56,0.37,,,
Penny Hart,WR,GAST,10.1,10.1,12.6,,,-1,0,65,0.29,,,
Washington,DEF,WASH,13.9,12.5,12.5,,,0,0,0,0,16.3,2.67,1.49
Stevie Scott,RB,IND,10.7,10.7,12.5,,,60,0.42,14,0.13,,,
TCU,DEF,TCU,13.2,12.5,12.5,,,0,0,0,0,15.7,3.74,1.13
Chase Claypool,WR,ND,10.4,10.4,12.4,,,0,0,54,0.54,,,
Justice Hill,RB,OKLAST,11.1,11.1,12.4,,,61,0.53,8,0.1,,,
Mik'Quan Deane,TE,WKY,10.4,10.4,12.3,,,1,0,51,0.6,,,
Miles Sanders,RB,PSU,11,11,12.3,,,63,0.47,11,0.08,,,
Boston College,DEF,BC,14.1,12.3,12.3,,,0,0,0,0,23.3,3.35,2.3
Flynn Nagel,WR,NWEST,9.5,9.5,12.2,,,0,0,61,0.19,,,
Warren Wand,RB,ARKST,10.8,10.8,12.2,,,61,0.27,16,0.1,,,
Evan Shirreffs,QB,CHARLO,11.9,11.9,12.2,169,1.23,3,0.22,0,0,,,
Josh Oliver,TE,SJST,9.9,9.9,12.2,,,0,0,54,0.44,,,
Jeremy Larkin,RB,NWEST,10.5,10.5,12.1,,,40,0.43,23,0.03,,,
Kyle Fourtenbary,TE,WKY,9.9,9.9,12.1,,,0,0,43,0.59,,,
Shawn Poindexter,WR,ARIZ,9.9,9.9,12,,,0,0,60,0.37,,,
Damarea Crockett,RB,MIZZOU,10.6,10.6,12,,,64,0.31,15,0.09,,,
Lucky Jackson,WR,WKY,9.3,9.3,12,,,0,0,56,0.23,,,
Corey Dauphine,RB,TULANE,10.8,10.8,12,,,74,0.46,4,0.02,,,
Julian Hicks,WR,CMICH,10.1,10.1,12,,,1,0,41,0.68,,,
C.J. Worton,WR,FIU,10.1,10.1,11.9,,,0,0,56,0.48,,,
Bryan Edwards,WR,SC,9.8,9.8,11.9,,,0,0,47,0.58,,,
Davontavean Martin,WR,WASHST,9.4,9.4,11.9,,,0,0,46,0.41,,,
Jared Pinkney,TE,VANDY,9.6,9.6,11.8,,,0,0,62,0.27,,,
Austin Walter,RB,RICE,10.3,10.3,11.7,,,47,0.18,29,0.09,,,
New Mexico State,DEF,NMEXST,13,11.7,11.7,,,0,0,0,0,21.1,4.08,1.16
OJ Clark,WR,NMEXST,8.9,8.9,11.7,,,0,0,50,0.24,,,
Tim Jones,WR,USM,9.4,9.4,11.7,,,0,0,61,0.24,,,
Darrius Smith,RB,ARIZ,10.9,10.9,11.7,,,58,0.75,3,0.02,,,
Dezmon Patmon,WR,WASHST,9.2,9.2,11.6,,,0,0,58,0.2,,,
Ty Chandler,RB,TENN,10.6,10.6,11.6,,,44,0.17,20,0.39,,,
Ron'Quavion Tarver,WR,UTAHST,9.9,9.9,11.5,,,0,0,43,0.67,,,
Johnathan Boone,WR,NMEXST,9.1,9.1,11.5,,,-1,0,57,0.25,,,
Kanawai Noa,WR,CAL,8.9,8.9,11.5,,,1,0,50,0.25,,,
Maryland,DEF,MD,13,11.5,11.5,,,0,0,0,0,17.1,2.72,1.77
T.J. Rahming,WR,DUKE,9.1,9.1,11.5,,,1,0,48,0.32,,,
Larry Rountree III,RB,MIZZOU,10.5,10.5,11.4,,,68,0.49,4,0.02,,,
Warren Jackson,WR,COLOST,9.4,9.4,11.3,,,0,0,47,0.52,,,
Tyleek Collins,WR,UNLV,9.8,9.8,11.3,,,9,0.2,47,0.26,,,
Tre Hartley,WR,SJST,9.6,9.6,11.3,,,0,0,55,0.47,,,
Aaron McLean,WR,UCONN,9.3,9.3,11.2,,,0,0,57,0.32,,,
Danny Vanden Boom,QB,WISC,11,11,11.2,171,1.17,5,0.03,0,0,,,
Jack Coan,QB,WISC,11,11,11.2,171,1.17,5,0.03,0,0,,,
Jared Rice,TE,FRESNO,9.1,9.1,11.2,,,0,0,56,0.28,,,
Jordan Mitchell,WR,USM,8.5,8.5,11.2,,,0,0,56,0.27,,,
Ty Johnson,RB,MD,10.1,10.1,11.2,,,66,0.33,8,0.08,,,
Kyle Williams,WR,ARIZST,8.8,8.8,11.2,,,1,0,52,0.22,,,
Cedric Byrd,WR,HAWAII,8.7,8.7,11.2,,,0,0,46,0.3,,,
Matt Colburn,RB,WAKE,10.1,10.1,11.2,,,62,0.43,10,0.02,,,
Nathan Stanley,QB,IOWA,10.6,10.6,11.1,175,1.22,0,0.02,0,0,,,
Ja'Deion High,WR,TXTECH,8.7,8.7,11.1,,,0,0,53,0.18,,,
Travis Fulgham,WR,ODU,9.3,9.3,11.1,,,0,0,48,0.46,,,
Omar Bayless,WR,ARKST,9,9,11.1,,,0,0,58,0.26,,,
Dez Fitzpatrick,WR,LVILLE,9.3,9.3,11.1,,,0,0,46,0.52,,,
Kahlil Lewis,WR,CINCY,9.3,9.3,11.1,,,2,0,46,0.47,,,
Virginia,DEF,UVA,12.9,11.1,11.1,,,0,0,0,0,19.3,2.75,1.69
Shun Brown,WR,ARIZ,8.7,8.7,11,,,3,0,49,0.26,,,
Max Borghi,RB,WASHST,8.6,8.6,11,,,26,0.33,20,0.18,,,
Patrick Carr,RB,HOU,9.8,9.8,11,,,54,0.28,14,0.12,,,
Rafael Araujo-Lopes,WR,PITT,8.6,8.6,10.9,,,1,0,48,0.31,,,
Courtney Lark,WR,HOU,9.1,9.1,10.9,,,0,0,50,0.39,,,
Anthony Brown,QB,BC,10.8,10.8,10.9,127,1.57,5,0.05,0,0,,,
Darnell Salomon,WR,SFLA,9.4,9.4,10.9,,,0,0,47,0.56,,,
Travis Homer,RB,MIAMI,9.7,9.7,10.9,,,63,0.21,13,0.08,,,
Aaron Fuller,WR,WASH,8.8,8.8,10.8,,,0,0,52,0.28,,,
Jarrett Guarantano,QB,TENN,10.3,10.3,10.8,180,1.23,-6,0.03,0,0,,,
Brandon Presley,WR,UNLV,8.5,8.5,10.8,,,1,0,52,0.28,,,
Shawndarrius Phillips,RB,FIU,9.9,9.9,10.8,,,46,0.51,12,0.08,,,
Stanford,DEF,STNFRD,12.7,10.8,10.8,,,0,0,0,0,21.8,2.87,1.72
Blake Banham,RB,EMICH,8.9,8.9,10.8,,,18,0.15,38,0.18,,,
Brevin Jordan,TE,MIAMI,9,9,10.7,,,0,0,50,0.4,,,
Gerold Bright,WR,UTAHST,9.9,9.9,10.7,,,43,0.34,17,0.18,,,
UNLV,DEF,UNLV,13,10.7,10.7,,,0,0,0,0,29.5,2.81,1.53
Aca'Cedric Ware,RB,USC,9.7,9.7,10.7,,,46,0.49,12,0.1,,,
C.J. Bolar,WR,VANDY,8.9,8.9,10.7,,,0,0,56,0.32,,,
Jacquez Sloan,WR,WKY,8.6,8.6,10.7,,,1,0,58,0.16,,,
Hakeem Butler,WR,IOWAST,9.1,9.1,10.7,,,0,0,49,0.47,,,
UAB,DEF,UAB,11.8,10.6,10.6,,,0,0,0,0,16.3,3.03,0.95
Feleipe Franks,QB,FLA,10,10,10.6,167,1.01,10,0.08,0,0,,,
Michael Carter,RB,UNC,9.2,9.2,10.6,,,54,0.2,11,0.15,,,
Wisconsin,DEF,WISC,12.5,10.6,10.6,,,0,0,0,0,19.9,3.08,1.45
Whop Philyor,WR,IND,8.5,8.5,10.6,,,7,0.01,42,0.24,,,
Colorado,DEF,COLO,12.2,10.6,10.6,,,0,0,0,0,16.6,2.93,0.99
Tulane,DEF,TULANE,12.8,10.6,10.6,,,0,0,0,0,25.4,2.93,1.76
Preston Williams,WR,TENN,8.6,8.6,10.6,,,1,0,46,0.35,,,
Artavis Pierce,RB,OREGST,9.4,9.4,10.6,,,53,0.22,19,0.03,,,
Maurice Ffrench,WR,PITT,8.6,8.6,10.6,,,5,0.03,46,0.36,,,
Lawrence Cager,WR,MIAMI,9.1,9.1,10.6,,,0,0,49,0.5,,,
Keaontay Ingram,RB,TEXAS,9.3,9.3,10.6,,,53,0.32,9,0.02,,,
Josiah Deguara,TE,CINCY,8.6,8.6,10.6,,,0,0,51,0.31,,,
Olabisi Johnson,WR,COLOST,8.5,8.5,10.5,,,0,0,51,0.32,,,
Aaron Cephus,WR,RICE,8.9,8.9,10.5,,,0,0,51,0.41,,,
Rico Dowdle,RB,SC,9.3,9.3,10.5,,,46,0.34,15,0.15,,,
Keith Corbin,WR,HOU,8.8,8.8,10.5,,,0,0,47,0.51,,,
