player,position,team,upper,lower,points,YD,TD,sdPts,dropoff,sdRank,risk,DPA,SACK,INT
Marcelias Sutton,RB,OKLA,4.5,4.5,4.8,,,22,0.26,4,0.03,,,
Cole Herdman,TE,PURDUE,3.8,3.8,4.8,,,0,0,24,0.07,,,
Walter Dawn,RB,UTEP,4.1,4.1,4.8,,,10,0.09,18,0.06,,,
Shadell Bell,TE,CLEM,3.8,3.8,4.8,,,0,0,17,0.18,,,
Jahmir Smith,RB,ND,4.4,4.4,4.8,,,22,0.18,9,0.03,,,
Keyion Dixon,WR,UCONN,4.1,4.1,4.8,,,1,0,19,0.24,,,
Tyrie Cleveland,WR,FLA,3.9,3.9,4.8,,,0,0,23,0.13,,,
Samuel Emilus,WR,MA,4,4,4.8,,,0,0,18,0.26,,,
Cary Angeline,TE,NCST,3.8,3.8,4.7,,,0,0,23,0.1,,,
Jerrod Heard,WR,TEXAS,3.8,3.8,4.7,,,2,0.08,18,0.1,,,
New Mexico,DEF,NMEX,7.3,4.7,4.7,,,0,0,0,0,36,1.73,0.91
A.J. Turner,RB,SC,4,4,4.7,,,26,0.09,7,0.02,,,
Marcus McElroy,RB,COLOST,4.2,4.2,4.7,,,24,0.05,10,0.04,,,
Cameron Cole,WR,CMICH,3.7,3.7,4.7,,,0,0,23,0.09,,,
Akilian Butler,WR,BOISE,3.7,3.7,4.7,,,1,0,18,0.16,,,
Michael Woods,WR,ARK,3.9,3.9,4.7,,,0,0,21,0.18,,,
Darrius Scott,WR,FIU,3.8,3.8,4.7,,,-1,0,26,0.08,,,
Sam Mays,WR,ILL,3.8,3.8,4.7,,,0,0,24,0.08,,,
Terry Godwin,WR,UGA,3.9,3.9,4.6,,,0,0,24,0.14,,,
Raymond Calais,RB,LALAF,4.4,4.4,4.6,,,29,0.12,6,0.02,,,
Kadarius Toney,WR,FLA,3.9,3.9,4.6,,,16,0.02,11,0.05,,,
CJ Williams,RB,NAVY,4.1,4.1,4.6,,,16,0.12,14,0.01,,,
Earnest Patterson,WR,LALAF,4,4,4.6,,,0,0,26,0.13,,,
Jacques Patrick,RB,FSU,3.9,3.9,4.6,,,21,0.1,6,0.05,,,
Trevor Speights,RB,STNFRD,4.3,4.3,4.6,,,26,0.17,4,0.02,,,
Jaylen Dixon,WR,UTAH,3.9,3.9,4.6,,,0,0,28,0.06,,,
Bubba Ogbebor,WR,ARKST,3.8,3.8,4.6,,,0,0,23,0.12,,,
Evan Johnson,RB,NTEXAS,4,4,4.6,,,11,0.24,8,0.03,,,
Brandon Smith,WR,IOWA,3.6,3.6,4.6,,,0,0,22,0.09,,,
Chase Allen,TE,IOWAST,3.6,3.6,4.5,,,0,0,19,0.14,,,
