Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Danny Dalton (11510301),Danny Dalton,11510301,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,2.45
WR,Shaun Beyer (11510438),Shaun Beyer,11510438,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,-1
WR,Devonte Young (11510452),Devonte Young,11510452,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,0
WR,Isaac Lutz (11510455),Isaac Lutz,11510455,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,0
RB,Nick Eury (11510500),Nick Eury,11510500,RB/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,0
WR,Dominique Dafney (11510612),Dominique Dafney,11510612,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,0
WR,Colton Maxwell (11510621),Colton Maxwell,11510621,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,0
RB,C.J. Holmes (11510636),C.J. Holmes,11510636,RB/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,0
RB,Kyshaun Bryan (11510686),Kyshaun Bryan,11510686,RB/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,0
WR,Max Cooper (11510689),Max Cooper,11510689,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,1.35
WR,Henry Marchese (11510697),Henry Marchese,11510697,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,0
WR,Brandon Smith (11510700),Brandon Smith,11510700,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,6.65
RB,Journey Brown (11510764),Journey Brown,11510764,RB/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,3.75
WR,Mac Hippenhammer (11510769),Mac Hippenhammer,11510769,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,5.58
WR,Alex Hoenstine (11510772),Alex Hoenstine,11510772,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,0
WR,Cam Sullivan-Brown (11510775),Cam Sullivan-Brown,11510775,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,3.5
WR,Justin Weller (11510778),Justin Weller,11510778,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,0
WR,Kyle Groeneweg (11510855),Kyle Groeneweg,11510855,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,0.38
WR,Bryce Schulte (11510858),Bryce Schulte,11510858,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,0
WR,Drew Thomas (11510861),Drew Thomas,11510861,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,0
RB,Joe Ludwig (11510870),Joe Ludwig,11510870,RB/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,0
WR,Tommy Kujawa (11510873),Tommy Kujawa,11510873,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,0
WR,Zack Kuntz (11510900),Zack Kuntz,11510900,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,1.8
WR,Noah Feldman (11510938),Noah Feldman,11510938,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,0
WR,Nico Ragaini (11510941),Nico Ragaini,11510941,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,1.7
WR,Blair Brooks (11510944),Blair Brooks,11510944,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,0
WR,Samson Evans (11510947),Samson Evans,11510947,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,0
WR,Calvin Lockett (11510953),Calvin Lockett,11510953,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,0
RB,Turner Pallissard (11510956),Turner Pallissard,11510956,RB/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,0
RB,Kordell Stillmunkes (11510959),Kordell Stillmunkes,11510959,RB/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,0
WR,Ben Subbert (11510962),Ben Subbert,11510962,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,0
WR,Tyrone Tracy Jr. (11510965),Tyrone Tracy Jr.,11510965,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,3.2
WR,Jahan Dotson (11511049),Jahan Dotson,11511049,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,2
WR,Daniel George (11511052),Daniel George,11511052,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,16.5
WR,Justin Shorter (11511055),Justin Shorter,11511055,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,0
WR,Brandon Clark (11511293),Brandon Clark,11511293,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,0
