player,position,team,upper,lower,points,rrqaw,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk
Cedric Byrd,WR,HAWAII,12.7,12.7,16,,,0,0,62,0.59,,,,
Shea Patterson,QB,MICH,12.7,12.7,13.5,190,1.21,14,0.1,0,0,,,,
Corey Sutton,WR,APLST,12.7,12.7,14.4,,,0,0,58,0.91,,,,
Benny LeMay,RB,CHARLO,12.6,12.6,14.2,,,76,0.49,12,0.05,,,,
Arthur Jackson III,WR,EMICH,12.5,12.5,15.5,,,0,0,71,0.51,,,,
John Hightower,WR,BOISE,12.5,12.5,14.6,,,11,0.42,52,0.49,,,,
John Moten IV,RB,NWEST,12.5,12.5,14.5,,,74,0.63,7,0.02,,,,
Elijah Mitchell,RB,LALAF,12.4,12.4,13.5,,,66,0.62,14,0.03,,,,
Cam Akers,RB,FSU,12.4,12.4,14.3,,,81,0.43,9,0.09,,,,
Andre Williams,WR,AKRON,12.4,12.4,14.8,,,1,0,70,0.58,,,,
Malcolm Williams,WR,CSTCAR,12.4,12.4,15.3,,,5,0.15,71,0.3,,,,
Clemson,DEF,CLEM,12.3,10.8,10.8,,,0,0,0,0,14.2,3.42,0.85,
Desmond Ridder,QB,CINCY,12.3,12.3,12.5,130,0.98,34,0.17,0,0,,,,
A.J. Bush,QB,ILL,12.2,12.2,13.2,152,0.66,56,0.24,0,0,,,,
Michael Carter,RB,UNC,12.2,12.2,14.4,,,68,0.31,15,0.25,,,,
Dredrick Snelson,WR,UCF,12.2,12.2,14.8,,,0,0.03,64,0.6,,,,
Nick Brossette,RB,LSU,12.2,12.2,13.4,,,65,0.68,11,0.06,,,,
Ohio State,DEF,OHIOST,12.2,10.6,10.6,,,0,0,0,0,19.5,3.15,1.16,
Peyton Bender,QB,KANSAS,12.2,12.2,12.9,219,1.42,-9,0,0,0,,,,
Trey Ragas,RB,LALAF,12.1,12.1,13.7,,,76,0.36,14,0.07,,,,
Spencer Brown,RB,UAB,12.1,12.1,13.2,,,67,0.68,6,0.08,,,,
Torrance Marable,RB,CSTCAR,12.1,12.1,12.7,,,54,0.55,10,0.35,,,,
Trevon Brown,WR,ECU,12.1,12.1,14.9,,,0,0,67,0.51,,,,
Otis Anderson,WR,UCF,12.1,12.1,13.2,,,27,0.5,28,0.42,,,,
Zack Moss,RB,UTAH,12.1,12.1,13.4,,,69,0.61,10,0.06,,,,
Jalen Knox,WR,MIZZOU,12,12,14.2,,,2,0,62,0.68,,,,
Larry Rountree III,RB,MIZZOU,12,12,13.3,,,78,0.55,6,0.03,,,,
UCLA,DEF,UCLA,12,10,10,,,0,0,0,0,22.9,2.99,1.48,
Austin Walter,RB,RICE,12,12,13.8,,,56,0.3,30,0.09,,,,
Stanford,DEF,STNFRD,12,9.7,9.7,,,0,0,0,0,30,4.29,1.59,
Flynn Nagel,WR,NWEST,12,12,15.6,,,0,0,74,0.28,,,,
Toa Taua,RB,NEVADA,11.9,11.9,13.3,,,61,0.52,13,0.11,,,,
Jaylond Adams,WR,USM,11.9,11.9,14.7,,,2,0,66,0.49,,,,
UCF,DEF,UCF,11.8,10.6,10.6,,,0,0,0,0,19.8,1.58,1.79,
Tyrone Owens,RB,NMEX,11.8,11.8,13.6,,,74,0.37,13,0.15,,,,
KJ Hamler,WR,PSU,11.8,11.8,13.5,,,3,0.11,55,0.67,,,,
Moe Neal,WR,CUSE,11.8,11.8,13.3,,,54,0.23,22,0.24,,,,
Josh Jacobs,RB,BAMA,11.8,11.8,12.6,,,53,0.78,12,0.03,,,,
Corey Dauphine,RB,TULANE,11.8,11.8,12.7,,,73,0.64,4,0.02,,,,
Sheriron Jones,QB,NMEX,11.7,11.7,12.1,135,1.23,31,0.07,0,0,,,,
Marcel Murray,RB,ARKST,11.7,11.7,13.3,,,57,0.56,12,0.12,,,,
Arkansas State,DEF,ARKST,11.7,10.1,10.1,,,0,0,0,0,18.3,2.95,0.77,
Conor Blount,QB,OREGST,11.7,11.7,12.5,197,1.47,-3,0,0,0,,,,
Marcus Green,WR,LAMON,11.6,11.6,14.2,,,10,0.01,58,0.58,,,,
McLane Mannix,WR,NEVADA,11.6,11.6,14.1,,,2,0,66,0.46,,,,
Albert Okwuegbunam,TE,MIZZOU,11.6,11.6,15,,,0,0,54,0.79,,,,
Iowa,DEF,IOWA,11.6,9.8,9.8,,,0,0,0,0,17.2,2.79,1.14,
A.J. Richardson,WR,BOISE,11.6,11.6,13.9,,,0,0,67,0.54,,,,
Georgia State,DEF,GAST,11.6,9.6,9.6,,,0,0,0,0,29.9,2.61,1.74,
Syracuse,DEF,CUSE,11.5,9.8,9.8,,,0,0,0,0,24.9,2.28,1.51,
Derrick Gore,RB,LAMON,11.5,11.5,12.8,,,49,0.71,11,0.11,,,,
Penn State,DEF,PSU,11.5,10.2,10.2,,,0,0,0,0,19.3,2.19,1.24,
Fresno State,DEF,FRESNO,11.5,9.5,9.5,,,0,0,0,0,20.6,1.3,1.47,
DeAndre Torrey,RB,NTEXAS,11.4,11.4,12.7,,,51,0.65,15,0.1,,,,
Kent State,DEF,KENTST,11.4,9.5,9.5,,,0,0,0,0,18.7,2.62,1.14,
A.J. Brown,WR,MISS,11.4,11.4,14.7,,,0,0,71,0.28,,,,
Blake Banham,RB,EMICH,11.4,11.4,13.4,,,18,0.16,50,0.32,,,,
Justin Rankin,RB,KENTST,11.4,11.4,13,,,65,0.4,15,0.06,,,,
Western Michigan,DEF,WMICH,11.4,9.3,9.3,,,0,0,0,0,27.5,2.23,1.51,
J.J. Taylor,RB,ARIZ,11.3,11.3,13.3,,,78,0.32,12,0.07,,,,
Jayden Reed,WR,WMICH,11.3,11.3,13.9,,,1,0,55,0.68,,,,
Greg Dortch,WR,WAKE,11.3,11.3,14.2,,,1,0.01,59,0.47,,,,
Wake Forest,DEF,WAKE,11.3,9.1,9.1,,,0,0,0,0,25.9,2.51,1.25,
Mike Weber,RB,OHIOST,11.3,11.3,12.7,,,67,0.5,8,0.08,,,,
Davontavean Martin,WR,WASHST,11.3,11.3,13.6,,,0,0,49,0.69,,,,
Auburn,DEF,AUBURN,11.2,9.5,9.5,,,0,0,0,0,22.9,2.7,1.46,
Ryan Finley,QB,NCST,11.2,11.2,11.8,203,0.84,6,0.04,0,0,,,,
James Gilbert,RB,BALLST,11.2,11.2,12.5,,,61,0.52,11,0.06,,,,
Kadin Remsberg,RB,AF,11.2,11.2,12.6,,,82,0.44,0,0.07,,,,
Jamauri Bogan,RB,WMICH,11.2,11.2,12,,,67,0.67,3,0.02,,,,
Kentucky,DEF,UK,11.2,9.4,9.4,,,0,0,0,0,17.2,2.66,1.11,
Raheem Blackshear,RB,RUT,11.2,11.2,13.5,,,41,0.17,28,0.36,,,,
Florida State,DEF,FSU,11.2,9.7,9.7,,,0,0,0,0,19.4,2.88,1.26,
Jeremy Cox,RB,ODU,11.1,11.1,12.5,,,62,0.4,14,0.08,,,,
Kenny Young,RB,MIAOH,11.1,11.1,13.1,,,40,0.32,24,0.25,,,,
Najee Harris,RB,BAMA,11.1,11.1,12.3,,,62,0.46,8,0.17,,,,
Corey Taylor II,RB,TULSA,11.1,11.1,11.7,,,56,0.86,2,0.01,,,,
Ja'Deion High,WR,TXTECH,11.1,11.1,13.8,,,0,0,67,0.39,,,,
Devine Ozigbo,RB,NEB,11.1,11.1,12.3,,,52,0.59,14,0.09,,,,
USC,DEF,USC,11.1,9.2,9.2,,,0,0,0,0,21.2,2.52,1.02,
Utah,DEF,UTAH,11.1,9.1,9.1,,,0,0,0,0,21.5,1.9,1.12,
Oregon State,DEF,OREGST,11.1,8.6,8.6,,,0,0,0,0,30.8,2.19,1.67,
Napoleon Maxwell,RB,FIU,11,11,12,,,63,0.65,4,0.03,,,,
Jordan Ellis,RB,UVA,11,11,12.6,,,52,0.42,19,0.08,,,,
Jalen Reagor,WR,TCU,11,11,13.4,,,2,0.01,58,0.46,,,,
Temple,DEF,TEMPLE,11,9.6,9.6,,,0,0,0,0,16.3,2.41,0.88,
Kesean Strong,RB,ODU,10.9,10.9,11.8,,,36,0.5,18,0.3,,,,
Darwin Thompson,RB,UTAHST,10.9,10.9,11.9,,,47,0.63,16,0.02,,,,
Appalachian State,DEF,APLST,10.9,9.8,9.8,,,0,0,0,0,19.5,2.3,1.51,
Eastern Michigan,DEF,EMICH,10.9,8.9,8.9,,,0,0,0,0,21.3,2.52,1.08,
Warren Wand,RB,ARKST,10.9,10.9,12.4,,,64,0.26,14,0.1,,,,
Darnell Woolfolk,RB,ARMY,10.9,10.9,11.6,,,63,0.68,4,0.05,,,,
Justin McInnis,WR,ARKST,10.8,10.8,13.9,,,0,0,59,0.36,,,,
LSU,DEF,LSU,10.8,9.1,9.1,,,0,0,0,0,16.9,1.73,1.31,
Oregon,DEF,OREG,10.8,8.4,8.4,,,0,0,0,0,30.9,2.11,2.03,
Jordan Mims,RB,FRESNO,10.8,10.8,12.1,,,31,0.36,38,0.13,,,,
T.J. Vasher,WR,TXTECH,10.7,10.7,12.5,,,0,0,53,0.65,,,,
Darius Anderson,RB,TCU,10.7,10.7,11.9,,,58,0.57,6,0.03,,,,
Rico Bussey Jr.,WR,NTEXAS,10.7,10.7,13,,,0,0,55,0.55,,,,
