player,position,team,upper,lower,points,rrqaw,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk
KeSean Carter,WR,TXTECH,5.8,5.8,7.1,,,3,0,25,0.26,,,,
Isiah Cox,WR,OHIO,5.7,5.7,6.4,,,0,0,25,0.44,,,,
Sean Riley,WR,CUSE,5.7,5.7,7.2,,,4,0,28,0.19,,,,
Brycen Hopkins,TE,PURDUE,5.7,5.7,6.8,,,0,0,34,0.21,,,,
Destin Coates,RB,GAST,5.7,5.7,6.7,,,19,0.11,22,0.02,,,,
Jamire Jordan,WR,FRESNO,5.7,5.7,7.1,,,2,0.02,41,0.09,,,,
Brian Robinson Jr.,RB,BAMA,5.7,5.7,6,,,36,0.22,5,0.03,,,,
Dazz Newsome,WR,UNC,5.7,5.7,7,,,3,0,35,0.1,,,,
JJ Jefferson,WR,NWEST,5.7,5.7,6.7,,,0,0,30,0.27,,,,
Mike Carrigan,WR,KENTST,5.7,5.7,6.9,,,2,0.03,27,0.3,,,,
Nick Easley,WR,IOWA,5.6,5.6,6.9,,,0,0,25,0.32,,,,
Sage Surratt,WR,WAKE,5.6,5.6,7,,,0,0,36,0.12,,,,
Samson Nacua,WR,UTAH,5.6,5.6,6.7,,,0,0,26,0.34,,,,
C.J. Bolar,WR,VANDY,5.6,5.6,7.1,,,0,0,37,0.07,,,,
Brennon Dingle,WR,MA,5.6,5.6,6.5,,,0,0,29,0.32,,,,
Johnnie Dixon,WR,OHIOST,5.6,5.6,6.5,,,0,0.02,27,0.3,,,,
Stephon Robinson Jr.,WR,KANSAS,5.6,5.6,7.1,,,0,0,35,0.11,,,,
Gatlin Casey,WR,MTSU,5.6,5.6,7.2,,,0,0,32,0.12,,,,
Sean Dykes,TE,MEMP,5.6,5.6,6.8,,,0,0,32,0.25,,,,
Miami (Ohio),DEF,MIAOH,5.6,3.4,3.4,,,0,0,0,0,28.5,0.31,0.54,
Braylon Sanders,WR,MISS,5.6,5.6,6.8,,,0,0,38,0.09,,,,
Tyler Mabry,TE,BUFF,5.6,5.6,6.8,,,0,0,27,0.27,,,,
Gunnar Oakes,TE,EMICH,5.5,5.5,6.6,,,0,0,28,0.3,,,,
Jamire Calvin,WR,WASHST,5.5,5.5,7.2,,,0,0,33,0.12,,,,
Javonis Isaac,TE,ARKST,5.5,5.5,7.4,,,0,0,31,0.25,,,,
Donovan Peoples-Jones,WR,MICH,5.5,5.5,6.5,,,3,0,22,0.35,,,,
Keishawn Watson,WR,WMICH,5.5,5.5,6.5,,,0,0,26,0.31,,,,
Hunter Renfrow,WR,CLEM,5.5,5.5,6.8,,,0,0,32,0.17,,,,
Branden Mack,WR,TEMPLE,5.4,5.4,6.7,,,0,0,25,0.29,,,,
Kyle Sweet,WR,WASHST,5.4,5.4,6.9,,,0,0,34,0.11,,,,
Ricky Smalling,WR,ILL,5.4,5.4,6.4,,,0,0,29,0.27,,,,
Bo Melton,WR,RUT,5.4,5.4,6.8,,,3,0,33,0.07,,,,
Seth Williams,WR,AUBURN,5.4,5.4,6.3,,,0,0,30,0.26,,,,
JaCorey Sullivan,WR,CMICH,5.4,5.4,6.4,,,0,0,25,0.33,,,,
Javen Banks,WR,TXSTSM,5.4,5.4,6.2,,,1,0.09,25,0.26,,,,
Andrew Van Buren,RB,BOISE,5.4,5.4,5.7,,,27,0.3,6,0.03,,,,
Rico Arnold,WR,CHARLO,5.4,5.4,6.5,,,2,0,30,0.17,,,,
Hergy Mayala,WR,UCONN,5.4,5.4,6.9,,,0,0,33,0.1,,,,
Ian Bunting,TE,CAL,5.4,5.4,6.5,,,0,0,31,0.2,,,,
Sadiq Palmer,WR,MA,5.3,5.3,6.3,,,0,0.05,30,0.17,,,,
Marvin Kinsey Jr.,RB,COLOST,5.3,5.3,6,,,30,0.11,10,0.03,,,,
Myron Gailliard,WR,SMU,5.3,5.3,6.2,,,1,0,22,0.35,,,,
Mulbah Car,RB,HOU,5.3,5.3,5.7,,,33,0.2,6,0.03,,,,
Josiah Deguara,TE,CINCY,5.3,5.3,6.9,,,0,0,27,0.17,,,,
Jarveon Howard,RB,CUSE,5.3,5.3,5.9,,,30,0.38,5,0.02,,,,
Kendall Blanton,TE,MIZZOU,5.3,5.3,6.2,,,0,0,22,0.37,,,,
Andy Davidson,RB,ARMY,5.3,5.3,5.5,,,36,0.28,1,0.01,,,,
Cameron Butler,TE,COLOST,5.3,5.3,6.6,,,0,0,32,0.14,,,,
Jordan Duncan,WR,CAL,5.3,5.3,6.2,,,0,0,22,0.34,,,,
Drew Tejchman,WR,UNLV,5.2,5.2,6.3,,,2,0,22,0.29,,,,
Ryan Becker,TE,SMU,5.2,5.2,6.4,,,0,0,22,0.33,,,,
Tre Hartley,WR,SJST,5.2,5.2,6.4,,,0,0,32,0.15,,,,
Luke Timian,WR,IND,5.2,5.2,7,,,0,0,29,0.1,,,,
Shadell Bell,TE,CLEM,5.2,5.2,6.2,,,0,0,26,0.28,,,,
Tony Brooks-James,RB,OREG,5.2,5.2,5.8,,,30,0.18,10,0.03,,,,
K.D. Nixon,WR,COLO,5.2,5.2,7.7,,,1,0.01,39,0.08,,,,
Xavier Gaines,TE,MRSHL,5.2,5.2,6.5,,,1,0,27,0.19,,,,
Tyler Watts,WR,TXSTSM,5.2,5.2,6.6,,,2,0.03,27,0.13,,,,
Jay'Shawn Washington,TE,USM,5.2,5.2,6.2,,,0,0,31,0.18,,,,
Chase Hayden,RB,ARK,5.2,5.2,5.7,,,33,0.19,7,0.02,,,,
Master Teague,RB,OHIOST,5.2,5.2,5.5,,,30,0.21,5,0.03,,,,
Austin Trammell,WR,RICE,5.2,5.2,6.5,,,2,0,32,0.08,,,,
BJ Busbee,WR,SDGST,5.2,5.2,6.2,,,4,0,23,0.38,,,,
Tre' McKitty,TE,FSU,5.2,5.2,6.7,,,0,0,29,0.23,,,,
CJ Windham,WR,MTSU,5.2,5.2,6.2,,,0,0,28,0.25,,,,
Xavier Brown,WR,LAMON,5.2,5.2,6.2,,,0,0,32,0.2,,,,
Taz Bateman,RB,GAST,5.2,5.2,5.9,,,22,0.07,19,0.01,,,,
Seth Collins,WR,TXTECH,5.2,5.2,6.4,,,1,0,31,0.13,,,,
Johnny Johnson,WR,OREG,5.1,5.1,6,,,0,0,24,0.32,,,,
Kam Scott,WR,MIZZOU,5.1,5.1,6.4,,,0,0,29,0.16,,,,
Tyliek Raynor,RB,TEMPLE,5.1,5.1,5.4,,,24,0.35,4,0.02,,,,
Jalen Greene,WR,UTAHST,5.1,5.1,6.2,,,0,0,29,0.2,,,,
Austin Mack,WR,OHIOST,5.1,5.1,6.3,,,0,0,32,0.14,,,,
Demetric Felton,WR,UCLA,5.1,5.1,5.9,,,6,0.1,25,0.11,,,,
Tennessee,DEF,TENN,5.1,2,2,,,0,0,0,0,48.3,1.8,0.34,
Jerome Buckner,WR,OHIO,5.1,5.1,5.9,,,0,0,34,0.15,,,,
Armond Weh-Weh,RB,ARKST,5.1,5.1,5.5,,,33,0.06,10,0.02,,,,
Malik Roberson,RB,SJST,5.1,5.1,5.9,,,18,0.21,10,0.06,,,,
Donavan Hale,WR,IND,5.1,5.1,6.3,,,0,0,24,0.25,,,,
D'Vonte Price,RB,FIU,5.1,5.1,5.6,,,31,0.24,5,0.03,,,,
Connecticut,DEF,UCONN,5.1,1.9,1.9,,,0,0,0,0,48.2,1.9,0.49,
Tre King,RB,TXTECH,5.1,5.1,6.1,,,26,0.11,10,0.03,,,,
Armani Levias,TE,MRSHL,5,5,6.1,,,0,0,25,0.26,,,,
Isaiah McKoy,WR,KENTST,5,5,6.5,,,0,0,26,0.17,,,,
Tavaris Harrison,WR,FAU,5,5,6.1,,,0,0,35,0.07,,,,
Bryce Roberts,TE,NMEXST,5,5,6.2,,,0,0,25,0.24,,,,
DJ Turner,WR,MD,5,5,6.3,,,2,0.01,26,0.15,,,,
Ihmir Smith-Marsette,WR,IOWA,5,5,5.8,,,5,0.01,28,0.15,,,,
Caleb Huntley,RB,BALLST,5,5,5.4,,,38,0.09,3,0.01,,,,
Malik Miller,RB,AUBURN,5,5,6,,,15,0.07,20,0.02,,,,
Dylan Drummond,WR,EMICH,5,5,6.3,,,0,0,30,0.12,,,,
Colby Parkinson,TE,STNFRD,5,5,5.8,,,0,0,22,0.32,,,,
Isaiah Wright,WR,TEMPLE,4.9,4.9,6.1,,,11,0.03,22,0.1,,,,
Connor Brown,TE,OHIO,4.9,4.9,5.6,,,0,0,19,0.4,,,,
Blaze Moorhead,WR,TXSA,4.9,4.9,5.9,,,0,0,29,0.18,,,,
Elijah Dale,RB,HAWAII,4.9,4.9,5.3,,,16,0.06,7,0.35,,,,
Maurice Gordon,RB,MTSU,4.9,4.9,5.3,,,29,0.21,5,0.02,,,,
Jarion Anderson,WR,TULSA,4.9,4.9,6.3,,,0,0,27,0.22,,,,
Chase Blakley,TE,BOISE,4.9,4.9,6,,,0,0,14,0.4,,,,
Joey Magnifico,TE,MEMP,4.9,4.9,5.6,,,0,0,27,0.25,,,,
Jalen Virgil,WR,APLST,4.9,4.9,5.8,,,1,0,31,0.14,,,,
Taye Barber,WR,TCU,4.9,4.9,6.1,,,1,0,23,0.22,,,,
Bentavious Thompson,RB,UCF,4.9,4.9,5.2,,,26,0.23,6,0.03,,,,
Austin Vaughn,RB,LAMON,4.9,4.9,5.2,,,29,0.2,6,0.02,,,,
Demario McCall,RB,OHIOST,4.9,4.9,5.6,,,18,0.1,15,0.06,,,,
Xavier Lane,WR,WKY,4.9,4.9,6.1,,,0,0,30,0.12,,,,
Michael Woods,WR,ARK,4.9,4.9,5.7,,,0,0,26,0.25,,,,
Khari Blasingame,RB,VANDY,4.9,4.9,5.6,,,24,0.13,10,0.02,,,,
Taj Griffin,WR,OREG,4.9,4.9,5.3,,,14,0.09,16,0.15,,,,
Deondre Farrier,WR,ECU,4.9,4.9,6.2,,,1,0,25,0.2,,,,
Michael Lawrence,WR,NTEXAS,4.9,4.9,5.9,,,0,0,31,0.14,,,,
Raghib Ismail Jr.,WR,WYO,4.8,4.8,6.1,,,1,0,28,0.12,,,,
Devin Gentry,WR,GAST,4.8,4.8,5.6,,,4,0.03,30,0.1,,,,
Pat Freiermuth,TE,PSU,4.8,4.8,5.8,,,0,0,21,0.29,,,,
George Rushing,WR,BUFF,4.8,4.8,6.2,,,0,0,26,0.18,,,,
Anthony Muse,WR,NMEXST,4.8,4.8,5.9,,,0,0,26,0.17,,,,
Elijah Kothe,WR,SDGST,4.8,4.8,6.1,,,0,0,25,0.18,,,,
Austin Fort,TE,WYO,4.8,4.8,5.5,,,1,0.05,20,0.28,,,,
Zach Austin,WR,TXTECH,4.8,4.8,6.1,,,0,0,26,0.14,,,,
John Williams,WR,MEMP,4.8,4.8,6,,,1,0,29,0.14,,,,
Ra'veion Hargrove,RB,BGREEN,4.8,4.8,5.3,,,16,0.22,14,0.02,,,,
Samuel Emilus,WR,MA,4.7,4.7,5.4,,,0,0,21,0.35,,,,
Matt Sokol,TE,MICHST,4.7,4.7,6,,,0,0,27,0.14,,,,
Dawson Knox,TE,MISS,4.7,4.7,5.8,,,0,0,32,0.12,,,,
Tony Gaiter IV,WR,FIU,4.7,4.7,5.9,,,0,0,23,0.22,,,,
James Price,WR,WYO,4.7,4.7,5.6,,,-1,0,25,0.24,,,,
Caleb Twyford,WR,TXSTSM,4.7,4.7,5.7,,,10,0.04,20,0.09,,,,
Dee Anderson,WR,LSU,4.7,4.7,5.8,,,0,0,32,0.08,,,,
Taylor Edwards,TE,MA,4.7,4.7,5.8,,,0,0,27,0.16,,,,
Luke Farrell,TE,OHIOST,4.7,4.7,5.7,,,0,0,25,0.21,,,,
Kobe Smith,WR,SDGST,4.7,4.7,5.7,,,0,0,29,0.14,,,,
Reed Tyler,RB,ARKST,4.7,4.7,5.9,,,10,0.06,21,0.02,,,,
Evan Owens,RB,UNLV,4.7,4.7,5.1,,,29,0.19,3,0.02,,,,
Jocquez Bruce,RB,MTSU,4.7,4.7,5.6,,,8,0.07,23,0.07,,,,
Joe Reed,WR,UVA,4.7,4.7,5.7,,,3,0.01,29,0.14,,,,
Emmanuel Reed,RB,BUFF,4.7,4.7,5.2,,,35,0.13,6,0.03,,,,
Aaren Vaughns,WR,UTAHST,4.6,4.6,5.6,,,5,0.02,25,0.1,,,,
Darrius Scott,WR,FIU,4.6,4.6,5.6,,,-1,0,30,0.14,,,,
Collin Lisa,WR,UAB,4.6,4.6,5.5,,,0,0,31,0.11,,,,
Travell Harris,WR,WASHST,4.6,4.6,5.8,,,0,0,24,0.16,,,,
Jeshaun Jones,WR,MD,4.6,4.6,5.3,,,5,0.08,19,0.18,,,,
Drew Sample,TE,WASH,4.6,4.6,5.7,,,0,0,26,0.16,,,,
Jerome Washington,TE,RUT,4.6,4.6,5.7,,,0,0,32,0.07,,,,
Eli Stove,WR,AUBURN,4.6,4.6,5.5,,,12,0.09,17,0.06,,,,
Zach Gentry,TE,MICH,4.6,4.6,5.6,,,0,0,29,0.11,,,,
Jamauri Wakefield,RB,VANDY,4.6,4.6,4.8,,,30,0.14,4,0.01,,,,
Michael Ezeike,WR,UCLA,4.5,4.5,5.2,,,0,0,14,0.41,,,,
Giovanni Ricci,WR,WMICH,4.5,4.5,5.8,,,0,0,25,0.14,,,,
Khalil Shakir,WR,BOISE,4.5,4.5,5.1,,,10,0.21,12,0.09,,,,
Evan Butts,TE,UVA,4.5,4.5,5.8,,,0,0,26,0.11,,,,
Isaih Pacheco,RB,RUT,4.5,4.5,4.7,,,34,0.11,3,0.01,,,,
C.J. Conrad,TE,UK,4.5,4.5,5.7,,,0,0,24,0.17,,,,
Zahneer Shuler,RB,NMEX,4.5,4.5,4.8,,,21,0.27,5,0.02,,,,
Terry Wright,WR,PURDUE,4.5,4.5,5.6,,,1,0,25,0.17,,,,
Stephon Huderson,RB,TULANE,4.5,4.5,4.7,,,30,0.11,6,0.02,,,,
Xzaviar Campbell,RB,UNLV,4.5,4.5,4.7,,,32,0.11,2,0.03,,,,
Brandon Smith,WR,IOWA,4.5,4.5,5.4,,,0,0,27,0.14,,,,
Michiah Quick,WR,FRESNO,4.5,4.5,5.9,,,0,0,23,0.12,,,,
Isaiah Sanders,QB,AF,4.5,4.5,4.5,69,0.55,1,0.01,0,0,,,,
Armand Shyne,RB,UTAH,4.4,4.4,4.7,,,30,0.2,1,0.01,,,,
Austin Watkins,WR,UAB,4.4,4.4,5.4,,,0,0,28,0.12,,,,
Raekwon James,RB,KENTST,4.4,4.4,5.6,,,9,0.06,20,0.02,,,,
Jay MacIntyre,WR,COLO,4.4,4.4,5.9,,,1,0,23,0.14,,,,
Travis Vokolek,TE,RUT,4.4,4.4,5.4,,,0,0,23,0.2,,,,
Lee Morris,WR,OKLA,4.4,4.4,4.9,,,0,0,21,0.3,,,,
Chris Autman-Bell,WR,MINN,4.4,4.4,5.3,,,0,0,30,0.09,,,,
Marcus McElroy,RB,COLOST,4.4,4.4,4.8,,,28,0.06,7,0.03,,,,
Jacob Breeland,TE,OREG,4.4,4.4,5.2,,,0,0,22,0.23,,,,
Nico Collins,WR,MICH,4.4,4.4,5.3,,,0,0,29,0.09,,,,
Cornelius McCoy,WR,GAST,4.4,4.4,5.7,,,0,0,32,0.08,,,,
Leroy Henley,WR,ECU,4.4,4.4,5.6,,,0,0,28,0.07,,,,
Mac Hippenhammer,WR,PSU,4.4,4.4,5.1,,,0,0,25,0.2,,,,
Tim Jordan,RB,TENN,4.4,4.4,5,,,22,0.2,7,0.04,,,,
Jakobi Meyers,WR,NCST,4.4,4.4,5.7,,,0,0,25,0.09,,,,
Antonio Nunn,WR,BUFF,4.4,4.4,5.3,,,0,0,22,0.22,,,,
Warren Redix,WR,UTEP,4.3,4.3,5.4,,,0,0,28,0.08,,,,
Cedric Peterson,WR,ARIZ,4.3,4.3,5.2,,,0,0,22,0.23,,,,
Markis McCray,WR,LAMON,4.3,4.3,5.3,,,8,0.01,22,0.08,,,,
Trey McBride,TE,COLOST,4.3,4.3,5,,,2,0.01,21,0.22,,,,
Darius Pinnix,RB,ECU,4.3,4.3,5,,,22,0.1,11,0.01,,,,
Marcelias Sutton,RB,OKLA,4.3,4.3,4.5,,,24,0.22,4,0.02,,,,
Justin Holmes,WR,SJST,4.3,4.3,5.4,,,0,0,27,0.08,,,,
Isaiah Smalls,TE,OREGST,4.3,4.3,5.4,,,0,0,25,0.12,,,,
Ricky Person,RB,NCST,4.3,4.3,4.9,,,39,0.11,3,0.01,,,,
Calen Holt,RB,ARMY,4.3,4.3,4.5,,,25,0.18,6,0.01,,,,
Tony Brown,WR,COLO,4.3,4.3,5.7,,,0,0,26,0.05,,,,
Mykel Traylor-Bennett,TE,AKRON,4.3,4.3,4.9,,,4,0.31,11,0.06,,,,
Tra Barnett,RB,GAST,4.3,4.3,5.1,,,17,0.18,8,0.05,,,,
Josh Hokit,RB,FRESNO,4.3,4.3,4.9,,,24,0.08,8,0.02,,,,
Rashad Medaris,WR,CINCY,4.3,4.3,5.2,,,0,0,21,0.21,,,,
David Bouvier,WR,UK,4.3,4.3,4.9,,,0,0,22,0.24,,,,
Jarrod Jackson,WR,LALAF,4.2,4.2,5.2,,,0,0,22,0.19,,,,
Brandon Aiyuk,WR,ARIZST,4.2,4.2,5.2,,,0,0,25,0.14,,,,
Akilian Butler,WR,BOISE,4.2,4.2,5.3,,,1,0,19,0.23,,,,
Hayden Kingston,QB,UCF,4.2,4.2,4.3,55,0.48,2,0.03,0,0,,,,
Dyami Brown,WR,UNC,4.2,4.2,5.1,,,0,0,18,0.26,,,,
Emeka Emezie,WR,NCST,4.2,4.2,5.4,,,0,0,23,0.16,,,,
Ty Fryfogle,WR,IND,4.2,4.2,5.5,,,0,0,25,0.09,,,,
CJ Williams,RB,NAVY,4.2,4.2,4.7,,,13,0.13,17,0.01,,,,
Hasaan Klugh,QB,CHARLO,4.2,4.2,4.2,63,0.48,1,0.01,0,0,,,,
Trenard Davis,WR,ILL,4.2,4.2,5.2,,,0,0,28,0.07,,,,
Andre Baccellia,WR,WASH,4.2,4.2,5.1,,,2,0,24,0.11,,,,
Sean Ryan,WR,TEMPLE,4.2,4.2,5,,,0,0,21,0.22,,,,
De'Michael Harris,WR,USM,4.2,4.2,4.8,,,10,0.01,22,0.07,,,,
Henry Pearson,TE,APLST,4.2,4.2,5,,,0,0,26,0.13,,,,
Scotty Washington,WR,WAKE,4.2,4.2,5.2,,,0,0,26,0.09,,,,
Jordan Myers,WR,RICE,4.2,4.2,4.8,,,9,0.06,18,0.09,,,,
Luke Mayock,WR,MIAOH,4.2,4.2,5.1,,,0,0,25,0.13,,,,
Kelvin Smith,TE,NTEXAS,4.2,4.2,5.5,,,0,0,25,0.16,,,,
T'Rod Daniels,RB,USM,4.2,4.2,4.5,,,16,0.34,4,0.02,,,,
Noah Gray,TE,DUKE,4.2,4.2,4.9,,,0,0,20,0.24,,,,
Tavion Thomas,RB,CINCY,4.1,4.1,4.4,,,26,0.2,2,0.01,,,,
D.J. Matthews,WR,FSU,4.1,4.1,5.4,,,0,0,23,0.13,,,,
Randle Jones,WR,TEMPLE,4.1,4.1,4.9,,,0,0,23,0.18,,,,
Derrick Dillon,WR,LSU,4.1,4.1,4.9,,,3,0.01,23,0.18,,,,
Cameron Cole,WR,CMICH,4.1,4.1,5,,,0,0,26,0.1,,,,
Christian Beal,RB,WAKE,4.1,4.1,4.3,,,31,0.09,3,0.01,,,,
Jonathan Giles,WR,LSU,4.1,4.1,5.1,,,0,0,23,0.16,,,,
UL Lafayette,DEF,LALAF,4.1,1.1,1.1,,,0,0,0,0,43.5,0.78,0.5,
Romello Harris,RB,FRESNO,4.1,4.1,4.4,,,21,0.2,5,0.02,,,,
Darion Anderson,WR,GAS,4.1,4.1,4.6,,,0,0,18,0.31,,,,
Jaxson Kincaide,RB,NEVADA,4.1,4.1,4.7,,,13,0.12,6,0.15,,,,
Johnathan Hawkins,RB,BUFF,4.1,4.1,4.8,,,18,0.07,11,0.04,,,,
Tyler Davis,WR,UCONN,4.1,4.1,5.1,,,0,0,20,0.19,,,,
Tyron Arnett,WR,WMICH,4.1,4.1,5,,,0,0,26,0.1,,,,
Romello Ross,RB,CMICH,4.1,4.1,4.4,,,26,0.19,1,0.02,,,,
Jack Stoll,TE,NEB,4.1,4.1,5.3,,,0,0,21,0.22,,,,
Jared Sparks,WR,PURDUE,4.1,4.1,5.2,,,3,0.01,21,0.08,,,,
Tykee Ogle-Kellogg,WR,TXSA,4.1,4.1,4.8,,,0,0,20,0.22,,,,
Raymond Calais,RB,LALAF,4.1,4.1,4.3,,,28,0.08,6,0.01,,,,
T. J. Bedford,WR,TXSTSM,4,4,5,,,0,0,26,0.08,,,,
Brandon Polk,WR,PSU,4,4,4.7,,,0,0,21,0.23,,,,
Garland LaFrance,RB,WKY,4,4,5.3,,,12,0.09,11,0.02,,,,
Jacqez Hairston,RB,CSTCAR,4,4,4.3,,,30,0.1,2,0.02,,,,
Justin Sawmiller,WR,BGREEN,4,4,4.6,,,0,0,21,0.23,,,,
Hale Hentges,TE,BAMA,4,4,4.5,,,0,0,13,0.36,,,,
Daniel George,WR,PSU,4,4,4.6,,,0,0,20,0.25,,,,
Lucious Stanley,RB,UAB,4,4,4.3,,,28,0.09,2,0.05,,,,
Robert Mahone,RB,BOISE,4,4,4.5,,,20,0.13,8,0.03,,,,
Camden Harrison,WR,ARMY,4,4,4.4,,,0,0,16,0.34,,,,
Keynan Foster,WR,UTEP,4,4,4.7,,,2,0,22,0.14,,,,
Antwan Dixon,WR,KENTST,4,4,5.1,,,0,0,21,0.12,,,,
Trae Wells,TE,NEVADA,4,4,5.1,,,0,0,19,0.16,,,,
Workpeh Kofa,WR,CHARLO,4,4,5.2,,,0,0,21,0.1,,,,
Mike Williams,WR,NEB,4,4,5,,,0,0,24,0.08,,,,
Jarrison Stewart,WR,TCU,3.9,3.9,5.1,,,1,0,22,0.08,,,,
Jordan Wayne-Prather,WR,BGREEN,3.9,3.9,5,,,0,0,22,0.1,,,,
Stephen Guidry,WR,MISSST,3.9,3.9,4.7,,,0,0,22,0.17,,,,
Greg Bell,RB,NEB,3.9,3.9,4.8,,,29,0.07,4,0.02,,,,
Geraud Sanders,WR,AF,3.9,3.9,4.6,,,0,0,26,0.12,,,,
Alex Bachman,WR,WAKE,3.9,3.9,4.7,,,0,0,18,0.23,,,,
Shameen Jones,WR,RUT,3.9,3.9,4.6,,,1,0,20,0.16,,,,
Alfred Smith,WR,LATECH,3.9,3.9,4.9,,,0,0,16,0.2,,,,
Mechane Slade,WR,MEMP,3.9,3.9,4.6,,,0,0,16,0.26,,,,
Eddie Lewis,WR,RUT,3.9,3.9,5,,,0,0,23,0.06,,,,
Demari Simpkins,WR,UTAH,3.8,3.8,4.6,,,0,0,21,0.17,,,,
Martell Irby,RB,UCLA,3.8,3.8,4.3,,,19,0.12,7,0.02,,,,
Willie Johnson,WR,MRSHL,3.8,3.8,4.9,,,0,0,22,0.14,,,,
Dorian Baker,WR,UK,3.8,3.8,4.6,,,0,0,23,0.14,,,,
Kade Waguespack,TE,AF,3.8,3.8,4.3,,,0,0,14,0.35,,,,
Elijah Moore,WR,MISS,3.8,3.8,4.8,,,0,0,20,0.15,,,,
Carl Tucker,TE,UNC,3.8,3.8,4.7,,,0,0,23,0.11,,,,
Josh Pederson,TE,LAMON,3.8,3.8,4.5,,,0,0,16,0.26,,,,
Brian Snead,RB,OHIOST,3.8,3.8,4.1,,,13,0.26,5,0.03,,,,
Kumehnnu Gwilly,RB,CMICH,3.8,3.8,4.4,,,19,0.22,5,0.02,,,,
Cole Herdman,TE,PURDUE,3.8,3.8,4.7,,,0,0,23,0.09,,,,
Gino Appleberry Jr.,RB,WKY,3.8,3.8,4.1,,,8,0.35,6,0.02,,,,
Chris Sharp,RB,UVA,3.8,3.8,4.5,,,6,0.04,12,0.24,,,,
Stanley Berryhill III,WR,ARIZ,3.8,3.8,4.4,,,0,0,21,0.18,,,,
Jay Griffin IV,WR,NMEX,3.8,3.8,4.8,,,4,0.04,20,0.11,,,,
Bryce Wolma,TE,ARIZ,3.7,3.7,4.7,,,0,0,19,0.15,,,,
Alex James,RB,CSTCAR,3.7,3.7,4.3,,,17,0.1,4,0.23,,,,
Jordan Wilson,TE,UCLA,3.7,3.7,4.4,,,0,0,15,0.26,,,,
Jerome Ford,RB,BAMA,3.7,3.7,4,,,19,0.18,5,0.03,,,,
Chase Brown,RB,WMICH,3.7,3.7,4.3,,,29,0.09,4,0.02,,,,
Kolby Taylor,WR,OREGST,3.7,3.7,4.7,,,0,0,24,0.07,,,,
Breck Turner,RB,EMICH,3.7,3.7,4.2,,,14,0.19,8,0.02,,,,
Obe Fortune,WR,GAS,3.7,3.7,4.5,,,0,0,20,0.18,,,,
Christian Pabico,WR,UCLA,3.7,3.7,4.5,,,2,0,22,0.11,,,,
Jonathan Holland,TE,PSU,3.7,3.7,4.8,,,0,0,29,0.1,,,,
Kayin White,RB,LAMON,3.7,3.7,4.3,,,17,0.26,4,0.02,,,,
Jauan Jennings,WR,TENN,3.7,3.7,4.7,,,0,0,20,0.12,,,,
Rico Frye,RB,BGREEN,3.7,3.7,4,,,26,0.05,5,0.02,,,,
T.J. Hammonds,WR,ARK,3.7,3.7,4,,,17,0.03,9,0.11,,,,
Peyton Hendershot,TE,IND,3.7,3.7,4.8,,,0,0,16,0.17,,,,
Judah Bell,WR,SMU,3.7,3.7,4.5,,,0,0,22,0.11,,,,
Amari Rodgers,WR,CLEM,3.7,3.7,5,,,0,0,23,0.08,,,,
Taylor Jackson,WR,NAVY,3.7,3.7,4.3,,,0,0,21,0.17,,,,
Taj Mustapha,WR,WISC,3.7,3.7,4.4,,,0,0,10,0.33,,,,
Chris Taylor,WR,DUKE,3.7,3.7,4.7,,,0,0,22,0.08,,,,
Tyler Page,WR,SMU,3.7,3.7,4.3,,,0,0,25,0.1,,,,
Jared Cornelius,WR,ARK,3.7,3.7,4.3,,,2,0.04,18,0.11,,,,
Walter Dawn,RB,UTEP,3.7,3.7,4.3,,,10,0.06,15,0.05,,,,
Deron Thompson,RB,KANSAS,3.6,3.6,4,,,24,0.12,3,0.02,,,,
Hussein Howe,RB,ECU,3.6,3.6,4.4,,,19,0.06,8,0.01,,,,
Jordan Nathan,WR,UTAHST,3.6,3.6,4.7,,,1,0,21,0.16,,,,
Isaiah Floyd,RB,ARIZST,3.6,3.6,4,,,19,0.13,6,0.02,,,,
Matt Dotson,TE,MICHST,3.6,3.6,4.4,,,0,0,17,0.19,,,,
Josh Falo,TE,USC,3.6,3.6,4.9,,,0,0,23,0.21,,,,
Maurice Thomas,RB,MIAOH,3.6,3.6,4.3,,,20,0.06,7,0.01,,,,
Thomas Jackson,WR,UNC,3.6,3.6,4.4,,,0,0,18,0.17,,,,
Terrance Dixon,WR,GAST,3.6,3.6,4.3,,,0,0,27,0.05,,,,
Tommy Hudson,TE,ARIZST,3.6,3.6,4.8,,,0,0,16,0.14,,,,
Laress Nelson,WR,MICHST,3.6,3.6,4.6,,,0,0,22,0.06,,,,
Tre Walker,WR,SJST,3.6,3.6,4.7,,,0,0,26,0.03,,,,
Jaylen Dixon,WR,UTAH,3.6,3.6,4.3,,,0,0,25,0.06,,,,
Brandon Childress,WR,CMICH,3.6,3.6,4.7,,,0,0,26,0.1,,,,
Osirus Mitchell,WR,MISSST,3.6,3.6,4.5,,,0,0,23,0.07,,,,
Andrew Homer,TE,MIAOH,3.6,3.6,4.3,,,0,0,17,0.2,,,,
DeAndre Thompkins,WR,PSU,3.6,3.6,4.2,,,0,0,22,0.13,,,,
Richaud Floyd,WR,MIZZOU,3.6,3.6,4.4,,,0,0,23,0.16,,,,
