name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,sdPts,dropoff,sdRank,risk,offset
Ryan Tannehill,24.0,QB,MIA,DET,5.414104859034221,7.349307537078857,2.219681143760681,12.993851661682129,17.638338088989258,5.327234745025635,5.48428868665443,6.50293409388761,2.1,13.4239641852426,
Sam Darnold,22.0,QB,NYJ,MIN,6.731234030290083,7.290666753595525,6.065082983537153,14.808714866638184,16.039466857910156,13.343182563781738,1.26173525862194,1.74584279223424,1,5.75311476323083,
Albert Wilson,15.0,WR,MIA,DET,6.679419199625651,7.287240346272786,5.973091125488281,10.019128799438477,10.93086051940918,8.959636688232422,0.898922195174095,0.284025746115686,5.2,6.08348474084997,
Ezekiel Elliott,29.0,RB,DAL,WAS,6.902987381507611,7.276426512619545,6.503448486328125,20.01866340637207,21.10163688659668,18.860000610351562,0.962054994142671,0.592154849280721,0.4,4.52468632994102,
Tyler Boyd,22.0,WR,CIN,KC,6.690690300681374,7.230121005665172,5.409090735695578,14.719518661499023,15.906266212463379,11.899999618530273,1.37648017528951,0.394169504629332,0.9,5.22707095582697,
Bilal Powell,17.0,RB,NYJ,MIN,6.019825654871323,7.227913351619945,4.34266398934757,10.23370361328125,12.287452697753906,7.382528781890869,2.0889619810399,0.124510858043102,2.1,7.37457351745168,
Keelan Cole,17.0,WR,JAC,HOU,6.602465124691234,7.216689726885628,5.862762787762811,11.224190711975098,12.268372535705566,9.966696739196777,1.1821413738756,0.283345042850073,1.4,5.13147868915482,
Chris Ivory,11.0,RB,BUF,IND,5.826062722639604,7.211843837391246,3.9727271686900743,6.4086689949035645,7.933028221130371,4.369999885559082,1.55876455081611,0.606556495922606,2.3,6.67530997589046,
James OShaughnessy,10.0,TE,JAC,HOU,5.570865154266357,7.186429977416992,2.7860000133514404,5.570865154266357,7.186429977416992,2.7860000133514404,1.73348873821382,0.191778211170703,2.4,7.19034213321174,
Josh Doctson,10.0,WR,WAS,DAL,5.8743062019348145,7.181061744689941,3.5199999809265137,5.8743062019348145,7.181061744689941,3.5199999809265137,1.591182603231,0.24905809695892,2.5,6.0974772441578,
Dede Westbrook,18.0,WR,JAC,HOU,6.155962944030762,7.12605423397488,4.937265714009603,11.080733299255371,12.826897621154785,8.887078285217285,1.73442435056961,0.329639101447949,1.4,5.9080286874219,
Robert Woods,27.0,WR,LAR,SF,6.557215937861689,7.100110937047887,5.900000113028066,17.704483032226562,19.170299530029297,15.930000305175781,1.34667527047646,0.311435633975155,1.4,5.36282530404615,
