name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,sdPts,dropoff,sdRank,risk,offset
Kam Scott,3000.0,WR,MIZZOU,MEM,2.133333365122477,1.6999999682108562,1.6999999682108562,6.400000095367432,5.099999904632568,5.099999904632568,,0,,,
T.J. Vasher,5900.0,WR,TXTECH,KU,2.11864406779661,1.8135592897059554,1.8135592897059554,12.5,10.699999809265137,10.699999809265137,,0,,,
Ja'Deion High,6600.0,WR,TXTECH,KU,2.0909091198083125,1.6818182396166252,1.6818182396166252,13.800000190734863,11.100000381469727,11.100000381469727,,0,,,
Miles Sanders,7100.0,RB,PSU,IU,2.0704225083472023,1.8309859154929577,1.8309859154929577,14.699999809265137,13.0,13.0,,0.57,,,
Luke Timian,3400.0,WR,IND,PSU,2.058823529411765,1.5294117086073933,1.5294117086073933,7.0,5.199999809265137,5.199999809265137,,0,,,
Jerry Jeudy,8100.0,WR,BAMA,TENN,2.0246913109296636,1.7530863962055725,1.7530863962055725,16.399999618530273,14.199999809265137,14.199999809265137,,0,,,
Malik Miller,3000.0,RB,AUBURN,MISS,2.0,1.6666666666666667,1.6666666666666667,6.0,5.0,5.0,,0.07,,,
Lyn-J Dixon,3600.0,RB,CLEM,NCST,1.9999999470180936,1.91666669315762,1.91666669315762,7.199999809265137,6.900000095367432,6.900000095367432,,0.32,,,
Jalen Reagor,6900.0,WR,TCU,OU,1.9420289302217786,1.5942028985507246,1.5942028985507246,13.399999618530273,11.0,11.0,,0.01,,,
Kennedy Brooks,4500.0,RB,OKLA,TCU,1.9333332909478083,1.8444444868299696,1.8444444868299696,8.699999809265137,8.300000190734863,8.300000190734863,,0.45,,,
Reggie Corbin,4400.0,RB,ILL,WISC,1.9318181818181817,1.7499999566511673,1.7499999566511673,8.5,7.699999809265137,7.699999809265137,,0.25,,,
Marquise Brown,8400.0,WR,OKLA,TCU,1.9166667120797292,1.57142854872204,1.57142854872204,16.100000381469727,13.199999809265137,13.199999809265137,,0,,,
Mike Epstein,4300.0,RB,ILL,WISC,1.9069766998291016,1.744186046511628,1.744186046511628,8.199999809265137,7.5,7.5,,0.24,,,
Jeremiah Booker,3900.0,WR,KANSAS,TTU,1.897435921889085,1.5897435408372145,1.5897435408372145,7.400000095367432,6.199999809265137,6.199999809265137,,0,,,
Devonta Smith,5300.0,WR,BAMA,TENN,1.8867924528301887,1.5660377718367666,1.5660377718367666,10.0,8.300000190734863,8.300000190734863,,0,,,
Adam Choice,3600.0,RB,CLEM,NCST,1.8611110581292045,1.7500000529819064,1.7500000529819064,6.699999809265137,6.300000190734863,6.300000190734863,,0.3,,,
A.J. Brown,8000.0,WR,MISS,AUB,1.837499976158142,1.4249999523162842,1.4249999523162842,14.699999809265137,11.399999618530273,11.399999618530273,,0,,,
Ryan Davis,4800.0,WR,AUBURN,MISS,1.8333333730697632,1.3958332935969036,1.3958332935969036,8.800000190734863,6.699999809265137,6.699999809265137,,0,,,
Johnathon Johnson,6000.0,WR,MIZZOU,MEM,1.8333333333333333,1.5333333015441895,1.5333333015441895,11.0,9.199999809265137,9.199999809265137,,0,,,
Eli Stove,3000.0,WR,AUBURN,MISS,1.8333333333333333,1.5333333015441895,1.5333333015441895,5.5,4.599999904632568,4.599999904632568,,0.09,,,
Ricky Smalling,3500.0,WR,ILL,WISC,1.8285714558192663,1.5428571701049805,1.5428571701049805,6.400000095367432,5.400000095367432,5.400000095367432,,0,,,
Trey Sermon,5800.0,RB,OKLA,TCU,1.8275862726671943,1.655172479563746,1.655172479563746,10.600000381469727,9.600000381469727,9.600000381469727,,0.27,,,
